
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     395.774597E-03           401.579224E-03           405.400757E-03           408.171234E-03           410.249786E-03           411.839966E-03           413.067169E-03           414.017029E-03           414.748199E-03           415.314209E-03  
                 222.112976E-06             0.                     390.623352E-03           395.357819E-03           398.539886E-03           400.896393E-03           402.689056E-03           404.073914E-03           405.1521E-03             405.994537E-03           406.651215E-03           407.167328E-03  
                 224.739319E-06             0.                     390.562439E-03           395.284241E-03           398.458771E-03           400.810364E-03           402.599701E-03           403.982117E-03           405.058533E-03           405.899689E-03           406.555481E-03           407.07309E-03   
                 227.417801E-06             0.                     390.500336E-03           395.209229E-03           398.376038E-03           400.722656E-03           402.508484E-03           403.888458E-03           404.963074E-03           405.802948E-03           406.459778E-03           406.97699E-03   
                 230.155884E-06             0.                     390.436829E-03           395.132507E-03           398.291473E-03           400.632965E-03           402.415314E-03           403.792694E-03           404.865509E-03           405.705811E-03           406.361969E-03           406.878784E-03  
                 232.942398E-06             0.                     390.372223E-03           395.054474E-03           398.205414E-03           400.541687E-03           402.320435E-03           403.695282E-03           404.767792E-03           405.606995E-03           406.262421E-03           406.778809E-03  
                 235.777344E-06             0.                     390.306458E-03           394.975067E-03           398.117798E-03           400.448853E-03           402.223938E-03           403.597534E-03           404.668396E-03           405.506439E-03           406.161133E-03           406.677094E-03  
                 238.653275E-06             0.                     390.239777E-03           394.894501E-03           398.028992E-03           400.354645E-03           402.127197E-03           403.498383E-03           404.567535E-03           405.404449E-03           406.058411E-03           406.573914E-03  
                 241.559006E-06             0.                     390.172363E-03           394.81311E-03            397.93924E-03            400.260376E-03           402.029449E-03           403.398224E-03           404.465637E-03           405.301392E-03           405.95459E-03            406.469666E-03  
                 244.472183E-06             0.                     390.104797E-03           394.731506E-03           397.849884E-03           400.165894E-03           401.931427E-03           403.29776E-03            404.363525E-03           405.198059E-03           405.850525E-03           406.365143E-03  
                 247.336929E-06             0.                     390.038361E-03           394.651642E-03           397.762024E-03           400.072937E-03           401.835052E-03           403.198975E-03           404.263062E-03           405.096436E-03           405.748169E-03           406.26239E-03   
                 250.000504E-06             0.                     389.976746E-03           394.577423E-03           397.680328E-03           399.986511E-03           401.745483E-03           403.107178E-03           404.169647E-03           405.001953E-03           405.653015E-03           406.16684E-03   
                 449.199219E-06             0.                     385.36795E-03            389.024506E-03           391.571259E-03           393.523987E-03           395.044128E-03           396.239197E-03           397.184784E-03           397.93689E-03            398.536621E-03           399.020508E-03  
                 454.064453E-06             0.                     385.255402E-03           388.888855E-03           391.422028E-03           393.36615E-03            394.880432E-03           396.071442E-03           397.014191E-03           397.764313E-03           398.362823E-03           398.897369E-03  
                 459.015381E-06             0.                     385.140869E-03           388.750854E-03           391.270203E-03           393.205566E-03           394.713898E-03           395.900726E-03           396.840576E-03           397.588745E-03           398.240753E-03           398.772095E-03  
                 464.055695E-06             0.                     385.024261E-03           388.610352E-03           391.115601E-03           393.042023E-03           394.544342E-03           395.726959E-03           396.663849E-03           397.468353E-03           398.116455E-03           398.644531E-03  
                 469.170502E-06             0.                     384.905914E-03           388.467773E-03           390.958771E-03           392.876099E-03           394.372253E-03           395.550598E-03           396.546478E-03           397.346222E-03           397.990387E-03           398.515106E-03  
                 474.352386E-06             0.                     384.786011E-03           388.323334E-03           390.799835E-03           392.707977E-03           394.197937E-03           395.437592E-03           396.427612E-03           397.222504E-03           397.86261E-03            398.383942E-03  
                 479.590149E-06             0.                     384.664825E-03           388.177307E-03           390.639191E-03           392.538055E-03           394.091003E-03           395.323334E-03           396.307404E-03           397.097412E-03           397.73349E-03            398.251404E-03  
