
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.            
                   1.E+03                  26.9999981               27.0000343               37.1929169E-06            0.                     382.857208E-03           920.562256E+03            47.3932495E+03          123.115349E+06            36.432312E+06           108.872902E+06             0.                    -230.826431E-06           616.101257E-09           563.43988E-06              0.                       0.                       0.                       0.                       0.                    -230.826431E-06           616.101257E-09           563.43988E-06              0.                      55.4356003E+06           99.9999771E+09           29.3327847E-06           45.3027039E-03 
                   2.E+03                  27.0903625               27.0914173                1.05441439E-03         136.347168E-06           380.791504E-03             7.58886099E+06        -795.039307E+03           229.933411E+06            76.6366425E+06          197.11467E+06            136.347168E-06          -418.682404E-06           -10.3355026E-06            1.02655709E-03          30.1280384E-06         -101.212379E-06             1.94175124E-06         131.340393E-06           -30.1280384E-06         -519.894836E-06            -8.39373875E-06           1.15789759E-03           0.                     104.387619E+06             2.8269434E+12           29.4309616E-06           45.4474335E-03 
                   3.E+03                  27.1868744               27.1937218                6.84276772E-03         908.885925E-06           378.585632E-03             4.71035671E+06          41.0214996E+03          253.604935E+06            99.5795364E+06          217.56897E+06            772.538757E-06          -483.924072E-06           533.271301E-09             1.13389027E-03         132.725555E-06          -713.237915E-06             5.30777931E-06         845.963623E-06          -132.725555E-06            -1.19716191E-03           5.84107685E-06           1.97985399E-03           0.                     128.834488E+06            18.2777233E+12           29.5358219E-06           45.6019783E-03 
                   4.E+03                  26.817131                26.8316078               14.4748774E-03            1.95346844E-03         387.036865E-03             3.57358146E+06        -894.724487E+03           276.163727E+06           122.832458E+06           236.68895E+06              1.04458249E-03        -568.614502E-06           -11.6313696E-06            1.2032212E-03          206.568268E-06            -1.57996857E-03          -5.44129229E-06           1.78653705E-03        -206.568268E-06            -2.14858317E-03         -17.0727501E-06            2.98975825E-03           0.                     129.045425E+06            39.1693726E+12           29.1341324E-06           45.0096855E-03 
                   5.E+03                  26.7719612               26.7946472               22.6862202E-03            3.06948876E-03         388.069427E-03             3.88133907E+06        -346.608612E+03           300.829773E+06           139.205994E+06           257.501556E+06             1.11602068E-03        -616.729614E-06            -4.50590563E-06           1.31343544E-03         262.880737E-06            -2.51805282E-03          -8.04594326E-06           2.78093266E-03        -262.880737E-06            -3.13478208E-03         -12.5520601E-06            4.09436893E-03           0.                     153.925186E+06            61.4897842E+12           29.085043E-06            44.9372635E-03 
                   6.E+03                  26.7291832               26.7613258               32.1442947E-03            4.35794544E-03         389.047089E-03             3.74012208E+06        -356.752014E+03           318.536285E+06           151.789062E+06           272.78244E+06              1.28845727E-03        -656.007141E-06            -4.63777733E-06           1.39016843E-03         306.311066E-06            -3.61256838E-03         -10.9203758E-06            3.91887927E-03        -306.311066E-06            -4.26857567E-03         -15.5581436E-06            5.30904818E-03           0.                     161.453308E+06            87.2589188E+12           29.0385723E-06           44.8686905E-03 
                   7.E+03                  26.6165066               26.6591835               42.6810455E-03            5.81151485E-03         391.622681E-03             3.70599008E+06        -398.644745E+03           334.860809E+06           162.41951E+06            286.871429E+06             1.45356929E-03        -691.409607E-06            -5.18238068E-06           1.46109629E-03         340.228333E-06            -4.85546637E-03         -14.310113E-06             5.19569588E-03        -340.228333E-06            -5.54687786E-03         -19.492857E-06             6.65679216E-03           0.                     169.595596E+06           116.330307E+12            28.9161587E-06           44.6879807E-03 
                   8.E+03                  26.530056                26.5842857               54.2270584E-03            7.4080019E-03          393.598633E-03             3.69448614E+06        -243.930252E+03           351.094421E+06           171.714233E+06           300.911072E+06             1.59648597E-03        -722.614319E-06            -3.17108798E-06           1.53548539E-03         369.514374E-06            -6.22463608E-03         -14.9856062E-06            6.5941515E-03         -369.514374E-06            -6.94724989E-03         -18.1564541E-06            8.1296339E-03            0.                     179.073822E+06           148.260025E+12            28.8222427E-06           44.5492973E-03 
                   9.E+03                  26.4549599               26.5220432               67.0812454E-03            9.1900692E-03          395.315094E-03             3.61344004E+06         -57.0844994E+03          366.19754E+06            180.122787E+06           314.043488E+06             1.78206873E-03        -751.608093E-06          -742.147705E-09             1.60518885E-03         395.702484E-06            -7.75621367E-03         -12.0436459E-06            8.1519165E-03         -395.702484E-06            -8.50782299E-03         -12.7858515E-06            9.75710678E-03           0.                     186.65065E+06            183.901382E+12            28.7406578E-06           44.4288063E-03 
                  10.E+03                  26.3891449               26.4701347               80.994133E-03            11.1236086E-03          396.819519E-03             3.59562206E+06          93.9069977E+03          380.384796E+06           187.747818E+06           326.336548E+06             1.93353903E-03        -777.230957E-06             1.22066569E-06           1.67189837E-03         419.758057E-06            -9.42035866E-03          -5.79023647E-06           9.84011841E-03        -419.758057E-06           -10.1975918E-03           -4.56912661E-06          11.5120163E-03            0.                     194.168213E+06           222.572174E+12            28.6691589E-06           44.3231659E-03 
                  11.E+03                  26.3352928               26.4293022               94.0121078E-03           12.9374981E-03          398.050323E-03             3.65825701E+06          96.7612534E+03          392.312378E+06           193.969849E+06           336.608337E+06             1.81388819E-03        -796.559204E-06             1.25795126E-06           1.72969282E-03         440.466064E-06           -10.9824791E-03         -223.67749E-09             11.422946E-03          -440.466064E-06           -11.7790384E-03            1.03397179E-06          13.1526384E-03            0.                     200.438492E+06           258.849945E+12            28.6106567E-06           44.2367172E-03 
                  12.E+03                  26.2804337               26.3863506              105.918541E-03            14.6057043E-03          399.304199E-03             3.74381113E+06          54.0387497E+03          402.290985E+06           199.182693E+06           345.173309E+06             1.66820943E-03        -812.15863E-06            702.468201E-09             1.77839792E-03         458.193695E-06           -12.4197807E-03            3.93067575E-06          12.8779764E-03         -458.193695E-06           -13.2319384E-03            4.63353395E-06          14.6563721E-03            0.                     205.119019E+06           292.214233E+12            28.551054E-06            44.1486282E-03 
