node,hydrostatic_stress
node_353,44339359.3
node_354,44296371.5
node_355,44486270.9
node_356,44445198.1
node_357,40557647.7
node_358,39801456.5
node_359,40258861.5
node_360,40896060.9
node_361,40298595.4
node_362,41225425.7
node_363,40756385.8
node_364,41528335.6
node_365,41157329.6
node_366,41800231.9
node_367,41503471.4
node_368,42042503.4
node_369,41801967.6
node_370,42258678.4
node_371,42060901.6
node_372,42452758.8
node_373,42287761.7
node_374,42628585.8
node_375,42488903.0
node_376,42789627.1
node_377,42669647.2
node_378,42938896.2
node_379,42834350.6
node_380,43079013.8
node_381,42986625.7
node_382,43212265.0
node_383,43129482.3
node_384,43340652.5
node_385,43265468.6
node_386,43465980.5
node_387,43396797.2
node_388,43589901.0
node_389,43525440.2
node_390,43714004.5
node_391,43653190.6
node_392,43839805.6
node_393,43781776.4
node_394,43968849.2
node_395,43912872.3
node_396,44102733.6
node_397,44048183.4
node_398,44243171.7
node_399,44189525.6
node_400,44392040.3
node_401,44338813.8
node_402,44551555.6
node_403,44498298.6
node_404,39576198.6
node_405,38576290.1
node_406,38817920.7
node_407,40219512.9
node_408,39495834.4
node_409,40749813.1
node_410,40212722.8
node_411,41186908.7
node_412,40779335.0
node_413,41550769.8
node_414,41234184.3
node_415,41857486.7
node_416,41606327.1
node_417,42119812.0
node_418,41916427.6
node_419,42347660.1
node_420,42179744.7
node_421,42548713.7
node_422,42407497.4
node_423,42729011.5
node_424,42608104.7
node_425,42893314.4
node_426,42787990.6
node_427,43045455.9
node_428,42952159.9
node_429,43188602.4
node_430,43104595.2
node_431,43325374.6
node_432,43248516.1
node_433,43458072.7
node_434,43386661.5
node_435,43588722.2
node_436,43521366.1
node_437,43719211.6
node_438,43654754.6
node_439,43851337.4
node_440,43788780.2
node_441,43986885.1
node_442,43925357.8
node_443,44127719.9
node_444,44066421.5
node_445,44275791.2
node_446,44213996.9
node_447,44433296.2
node_448,44370239.3
node_449,44602832.8
node_450,44537704.5
node_451,38737663.3
node_452,37636432.6
node_453,37450946.8
node_454,39669075.0
node_455,38912544.3
node_456,40375064.8
node_457,39831234.0
node_458,40924877.2
node_459,40521152.5
node_460,41363063.8
node_461,41053901.7
node_462,41720439.9
node_463,41477367.4
node_464,42018215.2
node_465,41822330.5
node_466,42271514.9
node_467,42110069.3
node_468,42491298.7
node_469,42355365.8
node_470,42685688.0
node_471,42568924.0
node_472,42860870.4
node_473,42758606.0
node_474,43021644.6
node_475,42930381.8
node_476,43171817.8
node_477,43088886.3
node_478,43314506.5
node_479,43237815.9
node_480,43452365.9
node_481,43380222.3
node_482,43587711.3
node_483,43518718.7
node_484,43722637.2
node_485,43655601.5
node_486,43859138.5
node_487,43792999.3
node_488,43999183.7
node_489,43932968.1
node_490,44144817.4
node_491,44077579.5
node_492,44298168.2
node_493,44229007.7
node_494,44461658.5
node_495,44389556.9
node_496,44638153.1
node_497,44561977.4
node_498,38248550.4
node_499,37286312.1
node_500,36645515.4
node_501,39356838.2
node_502,38695953.4
node_503,40167457.6
node_504,39693710.3
node_505,40781974.8
node_506,40429122.9
node_507,41261993.4
node_508,40990375.5
node_509,41647365.6
node_510,41432281.5
node_511,41964458.5
node_512,41789642.3
node_513,42231472.0
node_514,42085983.3
node_515,42461238.9
node_516,42337410.0
node_517,42663097.4
node_518,42555469.5
node_519,42844009.4
node_520,42748535.2
node_521,43009285.0
node_522,42922939.3
node_523,43163105.0
node_524,43083515.2
node_525,43308857.0
node_526,43234157.6
node_527,43449382.8
node_528,43378025.1
node_529,43587131.5
node_530,43517799.4
node_531,43724330.9
node_532,43655864.7
node_533,43863071.4
node_534,43794406.9
node_535,44005413.1
node_536,43935527.8
node_537,44153499.6
node_538,44081340.8
node_539,44309558.9
node_540,44234069.8
node_541,44476112.4
node_542,44396072.4
node_543,44656166.1
node_544,44570167.5
node_545,43497062.7
node_546,43394802.1
node_547,43397617.3
node_548,44032573.7
node_549,43371696.5
node_550,43374183.7
node_551,43666168.2
node_552,43352172.9
node_553,43949489.6
node_554,44241863.3
node_555,43337787.6
node_556,43440929.4
node_557,43862636.6
node_558,43329734.8
node_559,43444824.2
node_560,43419776.9
node_561,43328460.7
node_562,43773696.9
node_563,43226470.9
node_564,43332576.8
node_565,43927494.0
node_566,43683651.0
node_567,43332489.0
node_568,43598362.0
node_569,44216602.3
node_570,43328151.7
node_571,43592998.5
node_572,44109149.9
node_573,43329063.4
node_574,43442157.7
node_575,43501968.4
node_576,43336872.1
node_577,43040329.0
node_578,43403816.2
node_579,43351894.4
node_580,43410572.1
node_581,43909374.2
node_582,43318771.4
node_583,43487777.7
node_584,43342090.6
node_585,43133647.9
node_586,43123161.3
node_587,44186985.0
node_588,43202869.4
node_589,44000267.0
node_590,43485664.4
node_591,43509349.8
node_592,43822532.7
node_593,43475265.5
node_594,44123386.4
node_595,43276607.5
node_596,43508098.6
node_597,44093479.2
node_598,43538143.2
node_599,43502071.4
node_600,43741119.4
node_601,44222541.8
node_602,43468097.7
node_603,44174766.5
node_604,43335563.7
node_605,43549240.1
node_606,43780902.9
node_607,43919605.3
node_608,43990806.6
node_609,44014049.5
node_610,44003929.1
node_611,43970806.1
node_612,43922069.5
node_613,43862831.1
node_614,43796608.0
node_615,43725811.0
node_616,43652107.2
node_617,43576625.8
node_618,43500160.2
node_619,43423328.4
node_620,43346645.4
node_621,43270610.8
node_622,43195869.4
node_623,43290756.2
node_624,43528144.8
node_625,43687343.6
node_626,43785545.3
node_627,43837444.3
node_628,43854969.0
node_629,43847343.4
node_630,43821556.1
node_631,43782802.6
node_632,43734897.6
node_633,43680679.3
