
                     X                  Cbar_L_Point_A           Cbar_L_Point_B           Cbar_L_Point_C    

                   8.5E+03                 20.3790817               20.                      19.6307735     
                  18.5E+03                 20.5673294               19.9999962               19.450531      
                  28.5E+03                 20.6895084               19.9999962               19.3350391     
                  38.5E+03                 20.7808647               19.9999981               19.249548      
                  48.5E+03                 20.8534565               20.0000038               19.1821327     
                  58.5E+03                 20.9131985               20.0000076               19.1269836     
                  68.5E+03                 20.9635315               20.0000114               19.08074       
                  78.5E+03                 21.0066605               20.0000172               19.0412807     
                  88.5E+03                 21.0441036               20.0000229               19.0071449     
                  98.5E+03                 21.076931                20.0000286               18.9773045     
                 108.5E+03                 21.1059647               20.0000324               18.9509888     
                 118.5E+03                 21.131815                20.0000381               18.9276028     
                 128.5E+03                 21.1549797               20.0000439               18.9067154     
                 138.5E+03                 21.1758442               20.0000515               18.8879337     
                 148.5E+03                 21.1947155               20.0000572               18.8709736     
                 158.5E+03                 21.2118568               20.0000668               18.8556023     
                 168.5E+03                 21.2274837               20.0000725               18.8416214     
                 178.5E+03                 21.2417755               20.0000801               18.8288517     
                 188.5E+03                 21.2548847               20.0000877               18.8171577     
                 198.5E+03                 21.2669411               20.0000935               18.8064175     
                 208.5E+03                 21.278059                20.0000992               18.7965298     
                 218.5E+03                 21.288332                20.0001068               18.7874146     
                 228.5E+03                 21.2978516               20.0001125               18.7789726     
                 238.5E+03                 21.3066883               20.0001221               18.7711601     
                 248.5E+03                 21.3148975               20.0001278               18.7639027     
                 258.5E+03                 21.3225479               20.0001335               18.7571564     
                 268.5E+03                 21.3296833               20.0001411               18.7508698     
                 278.5E+03                 21.3363495               20.0001488               18.7450047     
                 288.5E+03                 21.3425903               20.0001545               18.739521      
                 298.5E+03                 21.3484402               20.000164                18.7343998     
                 308.5E+03                 21.3539219               20.0001678               18.7295933     
                 318.5E+03                 21.3590813               20.0001755               18.7250862     
                 328.5E+03                 21.3639297               20.000185                18.7208538     
                 338.5E+03                 21.3684959               20.0001907               18.7168674     
                 348.5E+03                 21.3728008               20.0001984               18.7131195     
                 358.5E+03                 21.3768635               20.0002041               18.7095871     
                 368.5E+03                 21.3806992               20.0002098               18.706255      
                 378.5E+03                 21.3843307               20.0002174               18.7031097     
                 388.5E+03                 21.3877716               20.0002251               18.7001381     
                 398.5E+03                 21.3910198               20.0002308               18.6973228     
                 408.5E+03                 21.3941078               20.0002403               18.694664      
                 418.5E+03                 21.3970375               20.0002441               18.6921349     
                 428.5E+03                 21.3998184               20.0002518               18.6897392     
                 438.5E+03                 21.4024639               20.0002594               18.6874714     
                 448.5E+03                 21.4049797               20.0002651               18.6853085     
                 458.5E+03                 21.4073696               20.0002747               18.68326       
                 468.5E+03                 21.4096527               20.0002823               18.6813107     
                 478.5E+03                 21.4118309               20.0002861               18.679451      
                 488.5E+03                 21.4139004               20.0002937               18.677681      
