
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  13.E+03                  26.3826637               26.4403801               57.7183876E-03            7.8972373E-03          396.967712E-03            -5.21785593E+06           1.73944199E+06         785.840149E+06           368.920868E+06           685.416748E+06             1.17547977E-03          -1.75823081E-03          22.6128025E-06            3.38364577E-03         673.670654E-06            -6.63352585E-03        -127.57E-06                 7.30719519E-03        -673.670654E-06            -8.39175701E-03        -104.95726E-06             10.6908417E-03            0.                     383.181061E+06           158.044739E+12            28.6621132E-06           44.3135681E-03 
                  14.E+03                  26.2651024               26.3315506               66.444046E-03             9.12970543E-03         399.654877E-03            -5.38397217E+06           1.84091604E+06         803.701721E+06           381.204346E+06           700.926025E+06             1.23246992E-03          -1.80427897E-03          23.9319477E-06            3.45477796E-03         708.545654E-06            -7.71062374E-03        -133.744034E-06             8.41916847E-03        -708.545654E-06            -9.51490307E-03        -109.812363E-06            11.8739471E-03            0.                     393.174042E+06           182.694138E+12            28.5343971E-06           44.124939E-03  
                  15.E+03                  26.1545143               26.2301292               75.6123352E-03           10.4311886E-03          402.182465E-03            -5.8416481E+06            1.97329795E+06         820.703979E+06           392.282043E+06           715.978027E+06             1.3014822E-03           -1.84868705E-03          25.6528873E-06            3.52385974E-03         739.116333E-06            -8.85080242E-03        -143.533386E-06             9.58991814E-03        -739.116333E-06           -10.6994905E-03         -117.880585E-06            13.1137781E-03            0.                     402.381378E+06           208.723816E+12            28.4142628E-06           43.9474297E-03 
                  16.E+03                  26.0440235               26.1291313               85.1063461E-03           11.7876902E-03          404.70816E-03             -6.18465185E+06           2.15210605E+06         837.081848E+06           402.457733E+06           730.415283E+06             1.35650253E-03          -1.8902328E-03           27.9773521E-06            3.59100056E-03         765.942505E-06           -10.0418091E-03         -152.947678E-06            10.8077507E-03         -765.942505E-06           -11.9320393E-03         -124.969872E-06            14.3987522E-03            0.                     411.118378E+06           235.853821E+12            28.2942162E-06           43.7700005E-03 
                  17.E+03                  25.939312                26.0342369               94.9254303E-03           13.1976995E-03          407.101501E-03            -6.43977976E+06           2.28463984E+06         852.908203E+06           411.898132E+06           744.314026E+06             1.41000843E-03          -1.92940867E-03          29.7002544E-06            3.65635371E-03         789.788269E-06           -11.2821712E-03         -160.22171E-06             12.0719595E-03         -789.788269E-06           -13.2115784E-03         -130.521011E-06            15.7283134E-03            0.                     419.455566E+06           264.054016E+12            28.18046E-06             43.6017952E-03 
                  18.E+03                  25.8381577               25.9432297              105.077133E-03            14.6629629E-03          409.413666E-03            -6.52011633E+06           2.44739985E+06         868.314026E+06           420.812408E+06           757.70752E+06              1.46526384E-03          -1.96629024E-03          31.8162479E-06            3.72013164E-03         811.370972E-06           -12.5729933E-03         -165.360397E-06            13.3843632E-03         -811.370972E-06           -14.5392818E-03         -133.544327E-06            17.104496E-03             0.                     427.535461E+06           293.359283E+12            28.0705624E-06           43.4392433E-03 
                  19.E+03                  25.7420654               25.8576546              115.595428E-03            16.1875229E-03          411.610138E-03            -6.59817171E+06           2.59262013E+06         883.263489E+06           429.243256E+06           770.709473E+06             1.5245595E-03           -2.00175071E-03          33.7039833E-06            3.78234959E-03         831.218506E-06           -13.9173985E-03         -169.614029E-06            14.7486162E-03         -831.218506E-06           -15.9191475E-03         -135.909653E-06            18.5309658E-03            0.                     435.302765E+06           323.850464E+12            27.9661694E-06           43.2847672E-03 
                  20.E+03                  25.6503048               25.7767792              126.4758E-03              17.7708569E-03          413.707336E-03            -6.68019199E+06           2.73214984E+06         897.784546E+06           437.262817E+06           783.347595E+06             1.58333468E-03          -2.03597212E-03          35.5179329E-06            3.84304857E-03         849.657898E-06           -15.3147526E-03         -172.916916E-06            16.1644115E-03         -849.657898E-06           -17.3507233E-03         -137.399307E-06            20.0074577E-03            0.                     442.789154E+06           355.517151E+12            27.8664837E-06           43.1371994E-03 
                  21.E+03                  25.5626335               25.7003288              137.695343E-03            19.4097576E-03          415.711182E-03            -6.76589584E+06           2.870502E+06           911.881165E+06           444.919067E+06           795.623962E+06             1.6388973E-03           -2.06903005E-03          37.3166389E-06            3.9021759E-03          866.922546E-06           -16.7620792E-03         -175.131943E-06            17.6290016E-03         -866.922546E-06           -18.83111E-03           -137.815018E-06            21.5311794E-03            0.                     450.011505E+06           388.295135E+12            27.7712383E-06           42.9961815E-03 
                  22.E+03                  25.4788513               25.6280937              149.238571E-03            21.1019497E-03          417.62619E-03             -6.87652779E+06           2.99644399E+06         925.557617E+06           452.244171E+06           807.55957E+06              1.6921922E-03           -2.10108519E-03          38.9537888E-06            3.95973682E-03         883.199097E-06           -18.2572842E-03         -176.000183E-06            19.1404819E-03         -883.199097E-06           -20.358366E-03          -137.047134E-06            23.1002197E-03            0.                     456.975067E+06           422.138916E+12            27.6802177E-06           42.8613663E-03 
                  23.E+03                  25.3986263               25.5599957              161.364166E-03            22.883997E-03           419.459991E-03            -6.98040009E+06           3.1405859E+06          939.145447E+06           459.445892E+06           819.413879E+06             1.78204942E-03          -2.13278913E-03          40.8276711E-06            4.01702976E-03         898.982178E-06           -19.8327446E-03         -173.459869E-06            20.7317276E-03         -898.982178E-06           -21.9655304E-03         -132.631851E-06            24.7487564E-03            0.                     463.8703E+06             457.779907E+12            27.5930634E-06           42.7322426E-03 
                  24.E+03                  25.3275414               25.5018654              174.322876E-03            24.7868595E-03          421.084869E-03            -7.08602762E+06           3.30930591E+06         952.837708E+06           466.641815E+06           831.361511E+06             1.90286422E-03          -2.16464925E-03          43.0209045E-06            4.07485485E-03         914.581604E-06           -21.5155315E-03         -168.47905E-06             22.4301109E-03         -914.581604E-06           -23.6801758E-03         -125.457764E-06            26.5049686E-03            0.                     470.797852E+06           495.837189E+12            27.5158348E-06           42.6177788E-03 
                  25.E+03                  25.252409                25.4397278              187.310394E-03            26.7075558E-03          422.802094E-03            -7.1976161E+06            3.46220422E+06         965.880249E+06           473.447113E+06           842.752136E+06             1.92069316E-03          -2.19497919E-03          45.0088425E-06            4.13002729E-03         929.211365E-06           -23.2141914E-03         -165.618607E-06            24.1434002E-03         -929.211365E-06           -25.4091702E-03         -120.609421E-06            28.273428E-03             0.                     477.376587E+06           534.251038E+12            27.4342098E-06           42.4967842E-03 
                  26.E+03                  25.1827049               25.3828621              200.156296E-03            28.6132641E-03          424.395264E-03            -7.30575609E+06           3.58716989E+06         978.144836E+06           479.810791E+06           853.466309E+06             1.90570772E-03          -2.22346187E-03          46.6330681E-06            4.18196583E-03         942.795227E-06           -24.899807E-03          -163.93454E-06             25.8426056E-03         -942.795227E-06           -27.1232681E-03         -117.30217E-06             30.0245686E-03            0.                     483.549866E+06           572.365295E+12            27.3584881E-06           42.3844986E-03 
                  27.E+03                  25.1227512               25.3355179              212.765808E-03            30.4845352E-03          425.765717E-03            -7.40360022E+06           3.68806195E+06         989.609802E+06           485.734924E+06           863.479248E+06             1.87127256E-03          -2.25003529E-03          47.9447479E-06            4.2305522E-03          955.365356E-06           -26.555275E-03          -162.407639E-06            27.510643E-03          -955.365356E-06           -28.8053036E-03         -114.46257E-06             31.7411938E-03            0.                     489.313721E+06           609.790771E+12            27.2933502E-06           42.2878914E-03 
                  28.E+03                  25.0592957               25.2840462              224.749832E-03            32.2782249E-03          427.216125E-03            -7.49049616E+06           3.77336407E+06           1.00011683E+09         491.14798E+06            872.653259E+06             1.79368508E-03          -2.27434969E-03          49.0536919E-06            4.27509832E-03         966.800476E-06           -28.1424484E-03         -160.226135E-06            29.1092491E-03         -966.800476E-06           -30.4167976E-03         -111.172676E-06            33.384346E-03             0.                     494.591492E+06           645.664429E+12            27.2244072E-06           42.1856346E-03 
                  29.E+03                  25.0008621               25.2370872              236.228165E-03            34.0015221E-03          428.551971E-03            -7.56982803E+06           3.84982395E+06           1.0098083E+09          496.128601E+06           881.114685E+06             1.72330356E-03          -2.2967546E-03           50.0477943E-06            4.31620216E-03         977.285706E-06           -29.6676693E-03         -157.072433E-06            30.6449566E-03         -977.285706E-06           -31.9644241E-03         -107.024094E-06            34.9611549E-03            0.                     499.455627E+06           680.130432E+12            27.160923E-06            42.0914383E-03 
                  30.E+03                  24.9460983               25.1934147              247.31543E-03             35.6712151E-03          429.803528E-03            -7.64682436E+06           3.91977596E+06           1.01885045E+09         500.765442E+06           889.011658E+06             1.66969514E-03          -2.31765819E-03          50.9570541E-06            4.35457373E-03         987.0224E-06             -31.1457024E-03         -153.28125E-06             32.1327248E-03         -987.0224E-06             -33.4633636E-03         -102.323952E-06            36.4873047E-03            0.                     503.989655E+06           713.524353E+12            27.1014328E-06           42.0031548E-03 
