
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  
                 741.194946E-06             0.                     365.268219E-03           364.539062E-03           369.143341E-03           372.985382E-03           375.769043E-03           377.829773E-03           379.340698E-03           380.467102E-03           381.229034E-03           381.764069E-03  
                 747.635986E-06             0.                     365.234283E-03           364.347015E-03           368.822998E-03           372.594482E-03           375.331238E-03           377.357147E-03           378.840485E-03           379.943878E-03           380.686218E-03           381.203735E-03  
                 750.001526E-06             0.                     365.221832E-03           364.276489E-03           368.705353E-03           372.450928E-03           375.170471E-03           377.183594E-03           378.656769E-03           379.751709E-03           380.486877E-03           380.997955E-03  
                 921.759705E-06             0.                     364.317322E-03           359.15567E-03            360.162903E-03           362.026947E-03           363.496063E-03           364.580841E-03           365.318085E-03           365.798828E-03           366.012207E-03           366.056488E-03  
                 929.880859E-06             0.                     364.274567E-03           358.913574E-03           359.759003E-03           361.534119E-03           362.944092E-03           363.984955E-03           364.687378E-03           365.139099E-03           365.32782E-03            365.624512E-03  
                 938.02063E-06              0.                     364.23172E-03            358.670898E-03           359.354156E-03           361.0401E-03             362.390808E-03           363.387695E-03           364.055267E-03           364.477875E-03           364.917114E-03           365.191589E-03  
                 946.164124E-06             0.                     364.188812E-03           358.428101E-03           358.949158E-03           360.545868E-03           361.837341E-03           362.790161E-03           363.422852E-03           364.092041E-03           364.506226E-03           364.758392E-03  
                 954.296448E-06             0.                     364.145996E-03           358.185638E-03           358.544708E-03           360.052338E-03           361.284546E-03           362.193451E-03           363.067108E-03           363.706757E-03           364.095856E-03           364.325836E-03  
                 962.421326E-06             0.                     364.103241E-03           357.94342E-03            358.140625E-03           359.559235E-03           360.73233E-03            361.873352E-03           362.711731E-03           363.321808E-03           363.685913E-03           363.893646E-03  
                 970.631836E-06             0.                     364.059998E-03           357.698608E-03           357.732269E-03           359.060944E-03           360.454163E-03           361.549896E-03           362.3526E-03             362.932831E-03           363.271637E-03           363.45694E-03   
                 979.367615E-06             0.                     364.013977E-03           357.438171E-03           357.297791E-03           358.830139E-03           360.158234E-03           361.205719E-03           361.97049E-03            362.518951E-03           362.830841E-03           362.992279E-03  
                 989.463196E-06             0.                     363.960815E-03           357.137177E-03           357.142853E-03           358.563446E-03           359.816223E-03           360.807983E-03           361.5289E-03             362.040649E-03           362.321472E-03           362.455292E-03  
                 997.319824E-06             0.                     363.919434E-03           357.145294E-03           357.022308E-03           358.355896E-03           359.550079E-03           360.498444E-03           361.185242E-03           361.668396E-03           361.925049E-03           362.037384E-03  
                   1.00000203E-03           0.                     364.015442E-03           357.148041E-03           356.981171E-03           358.285034E-03           359.459229E-03           360.392792E-03           361.067932E-03           361.541321E-03           361.789703E-03           361.894684E-03  
                   1.15969038E-03           0.                     369.731262E-03           357.312927E-03           354.530945E-03           354.066376E-03           354.0495E-03             354.10144E-03            354.083069E-03           353.975586E-03           353.73233E-03            353.400696E-03  
                   1.16918981E-03           0.                     370.071289E-03           357.322723E-03           354.385162E-03           353.815399E-03           353.727692E-03           353.727203E-03           353.667542E-03           353.525543E-03           353.253021E-03           352.899872E-03  
                   1.17868924E-03           0.                     370.411316E-03           357.33252E-03            354.23941E-03            353.564484E-03           353.405884E-03           353.352936E-03           353.252014E-03           353.07547E-03            352.777496E-03           352.399078E-03  
                   1.18817019E-03           0.                     370.750671E-03           357.342316E-03           354.093933E-03           353.313995E-03           353.084717E-03           352.979431E-03           352.837311E-03           352.629486E-03           352.302948E-03           351.899231E-03  
                   1.19761372E-03           0.                     371.088684E-03           357.352051E-03           353.949036E-03           353.064514E-03           352.764801E-03           352.607361E-03           352.426788E-03           352.185211E-03           351.830231E-03           351.401367E-03  
                   1.20702386E-03           0.                     371.425507E-03           357.361755E-03           353.804657E-03           352.815918E-03           352.446014E-03           352.238586E-03           352.017731E-03           351.742523E-03           351.359222E-03           350.905243E-03  
                   1.21650839E-03           0.                     371.764984E-03           357.371582E-03           353.659119E-03           352.565338E-03           352.126129E-03           351.866913E-03           351.605438E-03           351.296356E-03           350.88446E-03            350.405212E-03  
                   1.22655559E-03           0.                     372.124603E-03           357.381927E-03           353.504944E-03           352.300842E-03           351.787262E-03           351.473175E-03           351.168701E-03           350.82373E-03            350.381561E-03           349.875549E-03  
                   1.23807788E-03           0.                     372.537048E-03           357.393829E-03           353.328583E-03           351.997498E-03           351.398651E-03           351.021606E-03           350.667816E-03           350.281677E-03           349.80481E-03            349.268066E-03  
                   1.24711919E-03           0.                     372.860657E-03           357.403168E-03           353.190216E-03           351.75946E-03            351.093689E-03           350.667297E-03           350.27478E-03            349.856354E-03           349.352234E-03           348.791382E-03  
                   1.24999881E-03           0.                     372.963684E-03           357.406097E-03           353.146149E-03           351.683655E-03           350.996552E-03           350.554443E-03           350.149597E-03           349.720886E-03           349.20813E-03            348.639587E-03  
                   1.39974427E-03           0.                     378.321411E-03           357.560486E-03           350.854065E-03           347.741333E-03           345.945953E-03           344.686066E-03           343.640045E-03           342.676483E-03           341.712585E-03           340.744904E-03  
                   1.41042101E-03           0.                     378.70343E-03            357.571472E-03           350.690643E-03           347.460266E-03           345.585846E-03           344.26767E-03            343.175934E-03           342.174225E-03           341.178192E-03           340.382019E-03  
                   1.42107534E-03           0.                     379.084625E-03           357.582489E-03           350.527557E-03           347.179779E-03           345.226532E-03           343.850128E-03           342.712799E-03           341.673004E-03           340.844452E-03           340.019867E-03  
                   1.43168116E-03           0.                     379.464081E-03           357.593414E-03           350.365234E-03           346.900543E-03           344.868805E-03           343.434479E-03           342.25174E-03            341.373169E-03           340.512238E-03           339.659332E-03  
                   1.44222379E-03           0.                     379.841309E-03           357.604279E-03           350.203827E-03           346.623016E-03           344.513245E-03           343.021332E-03           341.991699E-03           341.075165E-03           340.182007E-03           339.300964E-03  
                   1.452703E-03             0.                     380.216217E-03           357.615082E-03           350.043457E-03           346.347137E-03           344.15979E-03            342.808502E-03           341.733185E-03           340.7789E-03             339.85376E-03            338.944763E-03  
                   1.46323812E-03           0.                     380.59314E-03            357.625946E-03           349.882172E-03           346.069763E-03           344.003815E-03           342.594574E-03           341.473328E-03           340.481079E-03           339.523773E-03           338.58667E-03   
                   1.47435069E-03           0.                     380.990753E-03           357.63739E-03            349.712097E-03           345.985443E-03           343.839325E-03           342.368866E-03           341.199219E-03           340.166931E-03           339.175659E-03           338.208954E-03  
                   1.48702037E-03           0.                     381.444061E-03           357.650452E-03           349.73761E-03            345.889343E-03           343.651764E-03           342.111572E-03           340.886688E-03           339.808746E-03           338.778809E-03           337.778259E-03  
                   1.49702287E-03           0.                     381.801941E-03           357.768036E-03           349.757751E-03           345.813446E-03           343.503723E-03           341.908417E-03           340.639954E-03           339.52597E-03            338.465515E-03           337.438293E-03  
                   1.49999928E-03           0.                     381.808868E-03           357.803009E-03           349.763763E-03           345.790863E-03           343.459656E-03           341.847992E-03           340.566559E-03           339.441833E-03           338.372253E-03           337.337097E-03  
                   1.64121759E-03           0.                     382.13797E-03            359.462799E-03           350.048096E-03           344.719543E-03           341.369202E-03           338.980042E-03           337.083099E-03           335.449554E-03           333.948792E-03           332.536865E-03  
                   1.65292621E-03           0.                     382.165283E-03           359.600433E-03           350.071655E-03           344.630707E-03           341.195892E-03           338.742249E-03           336.794281E-03           335.118561E-03           333.582031E-03           332.141174E-03  
                   1.66459382E-03           0.                     382.192474E-03           359.737549E-03           350.095184E-03           344.542206E-03           341.023163E-03           338.50531E-03            336.5065E-03             334.788696E-03           333.218445E-03           331.746826E-03  
                   1.67618692E-03           0.                     382.219482E-03           359.87381E-03            350.11853E-03            344.454224E-03           340.851532E-03           338.269867E-03           336.22049E-03            334.462463E-03           332.857147E-03           331.355011E-03  
                   1.68768311E-03           0.                     382.246277E-03           360.008911E-03           350.141663E-03           344.367035E-03           340.681366E-03           338.036377E-03           335.938049E-03           334.138916E-03           332.498901E-03           330.966461E-03  
                   1.69908631E-03           0.                     382.272827E-03           360.142944E-03           350.164612E-03           344.280518E-03           340.512573E-03           337.805573E-03           335.657867E-03           333.818024E-03           332.143555E-03           330.581055E-03  
                   1.71052289E-03           0.                     382.2995E-03             360.277374E-03           350.187653E-03           344.193756E-03           340.34375E-03            337.574097E-03           335.376862E-03           333.496155E-03           331.78714E-03            330.194519E-03  
                   1.72254443E-03           0.                     382.327515E-03           360.418671E-03           350.211853E-03           344.102753E-03           340.16626E-03            337.33075E-03            335.081482E-03           333.157837E-03           331.412537E-03           329.788239E-03  
                   1.73617148E-03           0.                     382.359253E-03           360.578827E-03           350.239258E-03           343.999603E-03           339.965118E-03           337.054932E-03           334.746674E-03           332.774353E-03           330.987854E-03           329.327667E-03  
                   1.74697113E-03           0.                     382.38446E-03            360.705688E-03           350.260986E-03           343.917847E-03           339.805664E-03           336.836334E-03           334.481293E-03           332.470428E-03           330.651306E-03           328.962677E-03  
                   1.74999976E-03           0.                     382.39151E-03            360.741241E-03           350.267059E-03           343.894897E-03           339.760956E-03           336.775024E-03           334.406891E-03           332.385193E-03           330.556915E-03           328.860321E-03  
                   1.88407671E-03           0.                     382.703949E-03           362.315857E-03           350.536621E-03           342.879913E-03           337.781647E-03           334.061188E-03           331.112549E-03           328.611908E-03           326.378632E-03           324.328857E-03  
                   1.8966831E-03            0.                     382.733337E-03           362.463898E-03           350.561951E-03           342.784485E-03           337.59552E-03            333.806E-03              330.802826E-03           328.257111E-03           325.985779E-03           324.096588E-03  
                   1.90921879E-03           0.                     382.762543E-03           362.611115E-03           350.587158E-03           342.689606E-03           337.410492E-03           333.552277E-03           330.494812E-03           327.904358E-03           325.790192E-03           323.865601E-03  
                   1.92165375E-03           0.                     382.791504E-03           362.757141E-03           350.612122E-03           342.595459E-03           337.226898E-03           333.300598E-03           330.189301E-03           327.749878E-03           325.596161E-03           323.636475E-03  
                   1.93396211E-03           0.                     382.820221E-03           362.901703E-03           350.636902E-03           342.502258E-03           337.045197E-03           333.051453E-03           330.081299E-03           327.596985E-03           325.404114E-03           323.409668E-03  
                   1.94614756E-03           0.                     382.848633E-03           363.04483E-03            350.661407E-03           342.410034E-03           336.865295E-03           332.996887E-03           329.974457E-03           327.445618E-03           325.213959E-03           323.18515E-03   
                   1.9583441E-03            0.                     382.877014E-03           363.188049E-03           350.685913E-03           342.317688E-03           336.872253E-03           332.942261E-03           329.867462E-03           327.294128E-03           325.023651E-03           322.960449E-03  
                   1.9711144E-03            0.                     382.906799E-03           363.338013E-03           350.711578E-03           342.398865E-03           336.879517E-03           332.885071E-03           329.755432E-03           327.135529E-03           324.824371E-03           322.725128E-03  
                   1.98552012E-03           0.                     382.940338E-03           363.507202E-03           350.88324E-03            342.490417E-03           336.887726E-03           332.820526E-03           329.629059E-03           326.956573E-03           324.599579E-03           322.459686E-03  
                   1.99694932E-03           0.                     382.96698E-03            363.660278E-03           351.01944E-03            342.563019E-03           336.894226E-03           332.769348E-03           329.528809E-03           326.814636E-03           324.421265E-03           322.249084E-03  
                   2.00000024E-03           0.                     382.966309E-03           363.701141E-03           351.055786E-03           342.582397E-03           336.895966E-03           332.755676E-03           329.502045E-03           326.776703E-03           324.373627E-03           322.192871E-03  
                   2.12800884E-03           0.                     382.936981E-03           365.415405E-03           352.581177E-03           343.395874E-03           336.968842E-03           332.182343E-03           328.379181E-03           325.186707E-03           322.376221E-03           319.834198E-03  
                   2.14140129E-03           0.                     382.933929E-03           365.594757E-03           352.740753E-03           343.480988E-03           336.97644E-03            332.122345E-03           328.261688E-03           325.020355E-03           322.167236E-03           319.588409E-03  
                   2.15470052E-03           0.                     382.930878E-03           365.772858E-03           352.899261E-03           343.56546E-03            336.984039E-03           332.062805E-03           328.14505E-03            324.855164E-03           321.960449E-03           319.34436E-03   
                   2.16786575E-03           0.                     382.927856E-03           365.949158E-03           353.056122E-03           343.649139E-03           336.991516E-03           332.003845E-03           328.029572E-03           324.692139E-03           321.755768E-03           319.102753E-03  
                   2.18087435E-03           0.                     382.924896E-03           366.123352E-03           353.211121E-03           343.731781E-03           336.998901E-03           331.945557E-03           327.915771E-03           324.531036E-03           321.553497E-03           318.864044E-03  
                   2.19373035E-03           0.                     382.921936E-03           366.295502E-03           353.364349E-03           343.813507E-03           337.006256E-03           331.888123E-03           327.803314E-03           324.371887E-03           321.353607E-03           318.628113E-03  
                   2.20656776E-03           0.                     382.918976E-03           366.467438E-03           353.517334E-03           343.895081E-03           337.01355E-03            331.83075E-03            327.690979E-03           324.212921E-03           321.153992E-03           318.392517E-03  
                   2.21997118E-03           0.                     382.915924E-03           366.646942E-03           353.677032E-03           343.980133E-03           337.021149E-03           331.770844E-03           327.573761E-03           324.046936E-03           320.945587E-03           318.146545E-03  
                   2.23501778E-03           0.                     382.912476E-03           366.84845E-03            353.85614E-03            344.075623E-03           337.029694E-03           331.703613E-03           327.442108E-03           323.860626E-03           320.711639E-03           317.870453E-03  
                   2.24695349E-03           0.                     382.90976E-03            367.008209E-03           353.99823E-03            344.151337E-03           337.036469E-03           331.650269E-03           327.337677E-03           323.71283E-03            320.526062E-03           317.651398E-03  
                   2.25000095E-03           0.                     382.909058E-03           367.048981E-03           354.034515E-03           344.170685E-03           337.038177E-03           331.636627E-03           327.311035E-03           323.67511E-03            320.478668E-03           317.595459E-03  
                   2.3729279E-03            0.                     382.88089E-03            368.694336E-03           355.497925E-03           344.950745E-03           337.108002E-03           331.08728E-03            326.235657E-03           322.152954E-03           318.567352E-03           315.339569E-03  
                   2.38699841E-03           0.                     382.877686E-03           368.88266E-03            355.665436E-03           345.040009E-03           337.115997E-03           331.024414E-03           326.112549E-03           321.978729E-03           318.348572E-03           315.257263E-03  
                   2.4009459E-03            0.                     382.874481E-03           369.069336E-03           355.831482E-03           345.12854E-03            337.123932E-03           330.962097E-03           325.99054E-03            321.806E-03              318.299744E-03           315.17569E-03   
                   2.41473699E-03           0.                     382.871338E-03           369.253937E-03           355.995667E-03           345.216034E-03           337.131775E-03           330.900452E-03           325.869873E-03           321.794708E-03           318.251434E-03           315.095001E-03  
                   2.42834163E-03           0.                     382.868195E-03           369.436035E-03           356.157623E-03           345.302368E-03           337.139496E-03           330.839661E-03           325.900482E-03           321.783569E-03           318.203766E-03           315.015442E-03  
                   2.44176388E-03           0.                     382.865143E-03           369.615662E-03           356.317413E-03           345.387543E-03           337.147125E-03           330.915466E-03           325.930725E-03           321.772583E-03           318.156738E-03           314.936951E-03  
                   2.45514512E-03           0.                     382.862061E-03           369.7948E-03             356.476715E-03           345.472443E-03           337.269928E-03           330.991058E-03           325.960815E-03           321.761597E-03           318.109894E-03           314.858643E-03  
                   2.4690702E-03            0.                     382.858887E-03           369.981171E-03           356.642487E-03           345.642456E-03           337.397736E-03           331.069733E-03           325.992157E-03           321.750183E-03           318.061127E-03           314.777191E-03  
                   2.48464203E-03           0.                     382.855316E-03           370.189575E-03           356.84787E-03            345.83252E-03            337.540619E-03           331.157684E-03           326.027191E-03           321.737427E-03           318.006561E-03           314.686127E-03  
                   2.49697256E-03           0.                     382.852509E-03           370.311768E-03           357.010529E-03           345.983032E-03           337.653778E-03           331.227325E-03           326.054932E-03           321.727325E-03           317.963379E-03           314.613983E-03  
                   2.50000143E-03           0.                     382.852539E-03           370.341766E-03           357.050446E-03           346.02002E-03            337.68158E-03            331.244476E-03           326.061768E-03           321.724854E-03           317.952789E-03           314.596283E-03  
                   2.61864448E-03           0.                     382.854492E-03           371.517456E-03           358.615326E-03           347.468262E-03           338.770447E-03           331.914642E-03           326.328735E-03           321.627686E-03           317.537231E-03           313.902313E-03  
                   2.6333034E-03            0.                     382.854736E-03           371.66272E-03            358.808685E-03           347.647186E-03           338.904968E-03           331.997467E-03           326.361725E-03           321.615662E-03           317.48587E-03            313.816803E-03  
                   2.64781713E-03           0.                     382.85498E-03            371.806519E-03           359.000153E-03           347.824371E-03           339.038208E-03           332.079437E-03           326.394379E-03           321.60376E-03            317.43515E-03            313.732147E-03  
                   2.66214466E-03           0.                     382.855194E-03           371.948517E-03           359.189117E-03           347.999268E-03           339.169678E-03           332.16037E-03            326.426636E-03           321.592072E-03           317.385071E-03           313.64859E-03   
                   2.67625976E-03           0.                     382.855408E-03           372.088379E-03           359.375305E-03           348.17157E-03            339.299225E-03           332.240112E-03           326.458344E-03           321.580536E-03           317.335754E-03           313.566223E-03  
                   2.69016623E-03           0.                     382.855652E-03           372.226166E-03           359.558716E-03           348.341309E-03           339.426849E-03           332.318542E-03           326.489563E-03           321.569153E-03           317.28717E-03            313.485107E-03  
                   2.7040019E-03            0.                     382.855865E-03           372.363312E-03           359.741211E-03           348.510193E-03           339.55368E-03            332.396576E-03           326.52066E-03            321.557861E-03           317.2388E-03             313.404419E-03  
                   2.71835923E-03           0.                     382.85611E-03            372.505554E-03           359.930573E-03           348.685333E-03           339.685303E-03           332.47757E-03            326.552887E-03           321.546112E-03           317.18866E-03            313.320679E-03  
                   2.73436689E-03           0.                     382.856384E-03           372.664185E-03           360.141571E-03           348.880524E-03           339.832001E-03           332.567841E-03           326.588867E-03           321.53302E-03            317.132721E-03           313.227295E-03  
                   2.74700665E-03           0.                     382.856567E-03           372.789398E-03           360.308197E-03           349.034698E-03           339.947876E-03           332.63913E-03            326.617249E-03           321.522675E-03           317.088531E-03           313.153564E-03  
                   2.75000191E-03           0.                     382.856628E-03           372.819061E-03           360.347687E-03           349.071228E-03           339.975342E-03           332.656036E-03           326.623962E-03           321.520233E-03           317.078094E-03           313.136078E-03  
                   2.86503506E-03           0.                     382.85849E-03            373.958618E-03           361.864044E-03           350.474182E-03           341.029785E-03           333.30481E-03            326.882385E-03           321.426208E-03           316.676117E-03           312.465057E-03  
                   2.88020825E-03           0.                     382.858734E-03           374.108948E-03           362.064026E-03           350.659241E-03           341.168884E-03           333.390411E-03           326.916443E-03           321.413788E-03           316.623077E-03           312.480591E-03  
                   2.89521003E-03           0.                     382.858948E-03           374.257538E-03           362.26181E-03            350.842194E-03           341.306396E-03           333.475037E-03           326.950165E-03           321.40155E-03            316.672882E-03           312.495911E-03  
                   2.90999937E-03           0.                     382.859192E-03           374.404053E-03           362.456726E-03           351.022583E-03           341.441956E-03           333.558441E-03           326.983398E-03           321.48822E-03            316.721985E-03           312.511047E-03  
                   2.92455029E-03           0.                     382.859436E-03           374.548187E-03           362.64856E-03            351.200043E-03           341.575348E-03           333.640503E-03           327.10788E-03            321.573517E-03           316.770294E-03           312.52594E-03   
                   2.93886662E-03           0.                     382.85968E-03            374.690033E-03           362.83725E-03            351.374664E-03           341.706573E-03           333.800201E-03           327.230347E-03           321.65744E-03            316.81778E-03            312.540558E-03  
                   2.95308614E-03           0.                     382.859894E-03           374.830872E-03           363.024719E-03           351.548065E-03           341.894135E-03           333.958771E-03           327.351959E-03           321.740814E-03           316.86499E-03            312.555115E-03  
                   2.96780467E-03           0.                     382.860138E-03           374.976685E-03           363.218719E-03           351.750458E-03           342.088257E-03           334.122955E-03           327.477875E-03           321.827118E-03           316.913849E-03           312.57016E-03   
                   2.98417354E-03           0.                     382.860382E-03           375.138855E-03           363.408447E-03           351.975525E-03           342.304138E-03           334.305511E-03           327.617889E-03           321.923035E-03           316.96817E-03            312.586884E-03  
                   2.99704456E-03           0.                     382.860596E-03           375.216797E-03           363.557648E-03           352.152527E-03           342.473907E-03           334.449097E-03           327.727997E-03           321.998505E-03           317.010895E-03           312.600037E-03  
                   3.00000238E-03           0.                     382.860596E-03           375.23468E-03            363.591919E-03           352.193176E-03           342.512909E-03           334.482086E-03           327.753296E-03           322.015839E-03           317.020721E-03           312.603058E-03  
                   3.1119957E-03            0.                     382.860229E-03           375.912842E-03           364.889954E-03           353.733124E-03           343.98996E-03            335.731171E-03           328.711304E-03           322.672363E-03           317.392456E-03           312.71756E-03   
                   3.12761211E-03           0.                     382.860168E-03           376.007416E-03           365.070953E-03           353.947845E-03           344.195923E-03           335.905365E-03           328.84491E-03            322.763916E-03           317.444305E-03           312.73349E-03   
                   3.14303493E-03           0.                     382.860138E-03           376.1008E-03             365.249695E-03           354.159912E-03           344.399353E-03           336.077362E-03           328.976837E-03           322.85434E-03            317.495392E-03           312.749237E-03  
                   3.15822291E-03           0.                     382.860107E-03           376.19278E-03            365.425751E-03           354.368744E-03           344.59967E-03            336.246796E-03           329.10675E-03            322.943237E-03           317.545715E-03           312.76474E-03   
                   3.17315006E-03           0.                     382.860046E-03           376.283173E-03           365.598724E-03           354.574005E-03           344.796539E-03           336.413269E-03           329.234283E-03           323.030609E-03           317.595184E-03           312.779968E-03  
                   3.18781281E-03           0.                     382.859985E-03           376.371948E-03           365.768707E-03           354.775604E-03           344.989929E-03           336.57663E-03            329.359528E-03           323.116455E-03           317.643768E-03           312.794922E-03  
                   3.20236397E-03           0.                     382.859955E-03           376.460052E-03           365.937347E-03           354.975708E-03           345.181671E-03           336.73877E-03            329.483856E-03           323.20163E-03            317.691986E-03           312.809753E-03  
                   3.21738052E-03           0.                     382.859894E-03           376.550964E-03           366.111389E-03           355.182037E-03           345.379547E-03           336.906067E-03           329.612122E-03           323.289551E-03           317.74176E-03            312.825073E-03  
                   3.2340436E-03            0.                     382.859833E-03           376.651886E-03           366.304443E-03           355.411011E-03           345.599152E-03           337.091736E-03           329.754517E-03           323.387085E-03           317.796936E-03           312.842102E-03  
