
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.            
                   1.E+03                  27.                      27.0000343               37.1929207E-06            0.                     382.857178E-03           -34.293499E+03          -287.852264E+03           124.844185E+06            37.4429665E+06          110.992455E+06             0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                       0.                       0.                       0.                       0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                      54.0842896E+06           99.9999924E+09           29.3327942E-06           45.3027191E-03 
                   2.E+03                  27.0775547               27.0781136              562.598694E-06            70.4740982E-06          381.084625E-03           874.461975E+03            -1.16770375E+06         243.333588E+06            76.5568619E+06          214.868484E+06            70.4740982E-06         -475.463348E-06           -15.1801434E-06            1.10052121E-03          16.4722061E-06          -50.7209129E-06          -13.4935198E-06           67.1931229E-06          -16.4722061E-06         -526.184326E-06           -28.6736393E-06            1.16771436E-03           0.                     106.921638E+06             1.50948167E+12          29.417038E-06            45.4269218E-03 
                   3.E+03                  26.9463692               26.9533062                6.93552208E-03         928.378906E-06           384.083038E-03          -337.393005E+03           411.898499E+03           257.636292E+06           102.782776E+06           224.905334E+06           857.904785E-06          -542.315552E-06             5.35465336E-06           1.13451326E-03         127.965553E-06          -749.489319E-06           -21.2895756E-06          877.454895E-06          -127.965553E-06            -1.29180503E-03         -15.9348917E-06            2.01196814E-03           0.                     120.027237E+06            18.6675777E+12           29.2745285E-06           45.2168083E-03 
                   4.E+03                  26.6421738               26.6564941               14.3169603E-03            1.94022012E-03         391.036041E-03            -2.409096E+06           350.013E+03              282.2901E+06             123.955772E+06           247.075073E+06             1.01184106E-03        -621.414429E-06             4.55016565E-06           1.22913051E-03         199.957352E-06            -1.60816729E-03         -45.5877686E-06            1.8081243E-03         -199.957352E-06            -2.22958159E-03         -41.0375366E-06            3.03725505E-03           0.                     134.612244E+06            38.9043999E+12           28.9440517E-06           44.7293434E-03 
                   5.E+03                  26.6616669               26.6841183               22.4510136E-03            3.04523921E-03         390.590546E-03            -1.90504193E+06         837.209473E+03           306.517639E+06           141.20195E+06            267.336517E+06             1.10501933E-03        -681.104614E-06            10.8837194E-06            1.32364309E-03         249.090683E-06            -2.56503582E-03         -45.2804527E-06            2.81412673E-03        -249.090683E-06            -3.24614024E-03         -34.3968582E-06            4.13776922E-03           0.                     148.604843E+06            61.0047913E+12           28.9652233E-06           44.7605553E-03 
                   6.E+03                  26.6437511               26.6756725               31.9175644E-03            4.33521795E-03         390.999908E-03            -2.24154806E+06         713.473022E+03           323.682434E+06           153.456131E+06           282.354614E+06             1.28997838E-03        -726.915527E-06             9.27518654E-06           1.3915906E-03          285.119293E-06            -3.69258285E-03         -52.4509506E-06            3.97770286E-03        -285.119293E-06            -4.41949844E-03         -43.1758537E-06            5.36929274E-03           0.                     158.299026E+06            86.8043594E+12           28.9457684E-06           44.7317963E-03 
                   7.E+03                  26.5714302               26.6138802               42.4476204E-03            5.78158236E-03         392.652985E-03            -2.37864804E+06         948.281006E+03           340.015503E+06           163.730804E+06           296.570221E+06             1.44636464E-03        -767.512756E-06            12.3276405E-06            1.45804954E-03         312.198883E-06            -4.96378136E-03         -58.0481987E-06            5.27597952E-03        -312.198883E-06            -5.7312932E-03          -45.7205734E-06            6.73402834E-03           0.                     167.122559E+06           115.731651E+12            28.8671989E-06           44.6158295E-03 
                   8.E+03                  26.4927101               26.5467339               54.0251503E-03            7.37993526E-03         394.452454E-03            -2.46422601E+06           1.06703401E+06         356.044708E+06           172.884552E+06           310.507904E+06             1.59835184E-03        -805.715027E-06            13.8714828E-06            1.524593E-03           334.051971E-06            -6.37292194E-03         -61.5449944E-06            6.70697498E-03        -334.051971E-06            -7.17863703E-03         -47.6732979E-06            8.23156738E-03           0.                     175.488312E+06           147.698669E+12            28.7816696E-06           44.4895401E-03 
                   9.E+03                  26.4387207               26.5056496               66.929657E-03             9.16134453E-03         395.686523E-03            -2.57202387E+06           1.192276E+06           371.480103E+06           181.275024E+06           323.960846E+06             1.78140974E-03        -841.992737E-06            15.499609E-06             1.58934593E-03         353.013153E-06            -7.94660282E-03         -60.7328262E-06            8.29961681E-03        -353.013153E-06            -8.78859711E-03         -45.2335205E-06            9.8889637E-03            0.                     183.394348E+06           183.326859E+12            28.7230148E-06           44.4029236E-03 
                  10.E+03                  26.3845844               26.4654961               80.9079285E-03           11.0967484E-03          396.923706E-03            -2.67085409E+06           1.31184399E+06         385.687744E+06           188.836792E+06           336.34668E+06              1.93540454E-03        -875.141113E-06            17.053957E-06             1.64918947E-03         369.658722E-06            -9.65804195E-03         -59.7421303E-06           10.0277014E-03         -369.658722E-06           -10.5331821E-03          -42.6879272E-06           11.6768885E-03            0.                     190.617905E+06           222.034958E+12            28.6642075E-06           44.3160439E-03 
                  11.E+03                  26.3342934               26.4282703               93.9744263E-03           12.9125366E-03          398.073334E-03            -2.75086021E+06           1.39177692E+06         397.650085E+06           195.074661E+06           346.773865E+06             1.81578827E-03        -902.841309E-06            18.0930729E-06            1.69976461E-03         383.024536E-06           -11.2647409E-03          -58.9926491E-06           11.6477623E-03         -383.024536E-06           -12.1675825E-03          -40.8996735E-06           13.3475285E-03            0.                     196.65799E+06            258.350739E+12            28.6095638E-06           44.2353249E-03 
                  12.E+03                  26.2829037               26.3887959              105.889786E-03            14.5767632E-03          399.247894E-03            -2.81966996E+06           1.45810401E+06         407.695374E+06           200.253799E+06           355.532135E+06             1.66422594E-03        -926.022034E-06            18.9553318E-06            1.74232566E-03         393.955414E-06           -12.7382078E-03          -56.3430367E-06           13.1321592E-03         -393.955414E-06           -13.6642256E-03          -37.3877144E-06           14.8744869E-03            0.                     201.709854E+06           291.635254E+12            28.5537395E-06           44.152832E-03  
