
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     396.923706E-03           405.502594E-03           410.330688E-03           413.505615E-03           415.793488E-03           417.321014E-03           418.479919E-03           419.329773E-03           419.934143E-03           420.350433E-03  
                 223.152344E-06             0.                     390.143066E-03           396.92514E-03            400.872467E-03           403.477661E-03           405.335205E-03           406.585144E-03           407.49527E-03            408.147797E-03           408.595154E-03           408.885254E-03  
                 225.771225E-06             0.                     390.063507E-03           396.824524E-03           400.761475E-03           403.359985E-03           405.212494E-03           406.459167E-03           407.366333E-03           408.016571E-03           408.462067E-03           408.753265E-03  
                 228.42363E-06              0.                     389.98291E-03            396.722565E-03           400.649078E-03           403.240814E-03           405.088196E-03           406.331573E-03           407.235779E-03           407.883636E-03           408.329651E-03           408.619598E-03  
                 231.109558E-06             0.                     389.901276E-03           396.619293E-03           400.535217E-03           403.120087E-03           404.962311E-03           406.202332E-03           407.103577E-03           407.75119E-03            408.195587E-03           408.484283E-03  
                 233.829025E-06             0.                     389.818665E-03           396.514771E-03           400.419952E-03           402.997894E-03           404.834869E-03           406.071503E-03           406.971619E-03           407.617096E-03           408.059845E-03           408.34726E-03   
                 236.574554E-06             0.                     389.735229E-03           396.409241E-03           400.303558E-03           402.874512E-03           404.706177E-03           405.94104E-03            406.838348E-03           407.481689E-03           407.92276E-03            408.208893E-03  
                 239.335007E-06             0.                     389.651367E-03           396.303162E-03           400.186584E-03           402.750458E-03           404.578156E-03           405.809875E-03           406.704376E-03           407.345551E-03           407.785004E-03           408.069824E-03  
                 242.091721E-06             0.                     389.567596E-03           396.197174E-03           400.069733E-03           402.627625E-03           404.450287E-03           405.678864E-03           406.570587E-03           407.209595E-03           407.647369E-03           407.930908E-03  
                 244.833527E-06             0.                     389.484283E-03           396.091797E-03           399.954285E-03           402.505432E-03           404.32312E-03            405.548584E-03           406.437531E-03           407.074432E-03           407.510529E-03           407.792755E-03  
                 247.757889E-06             0.                     389.395416E-03           395.979858E-03           399.831116E-03           402.375122E-03           404.1875E-03             405.409607E-03           406.295593E-03           406.930206E-03           407.364532E-03           407.645386E-03  
                 250.000504E-06             0.                     389.327393E-03           395.894012E-03           399.736664E-03           402.275208E-03           404.083466E-03           405.30304E-03            406.186768E-03           406.819611E-03           407.252594E-03           407.532379E-03  
                 450.685608E-06             0.                     383.241486E-03           388.213257E-03           391.285126E-03           393.332458E-03           394.775482E-03           395.766388E-03           396.447296E-03           396.923065E-03           397.234589E-03           397.419983E-03  
                 455.584381E-06             0.                     383.092896E-03           388.025757E-03           391.078827E-03           393.114166E-03           394.548279E-03           395.5336E-03             396.209564E-03           396.681488E-03           396.990051E-03           397.22702E-03   
                 460.531555E-06             0.                     382.942871E-03           387.836395E-03           390.870483E-03           392.893738E-03           394.318817E-03           395.298523E-03           395.969482E-03           396.437531E-03           396.802246E-03           397.032135E-03  
                 465.523438E-06             0.                     382.791504E-03           387.645355E-03           390.660248E-03           392.671295E-03           394.08728E-03            395.061279E-03           395.727203E-03           396.255859E-03           396.612732E-03           396.83548E-03   
