
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   2.84729528E-03          28.1032848               28.2624779              159.192062E-03            20.5913315E-03          357.639252E-03           282.297913E+06            -3.58012509E+03         673.15033E+06            475.725677E+06           338.494049E+06           279.907257E-06          -311.824493E-06           -46.5515785E-09            2.22871637E-03         945.455933E-06           -17.2987766E-03            5.45819044E-06          18.244236E-03          -945.455933E-06           -17.6106033E-03            5.41162443E-06          20.4729519E-03            0.                     477.057983E+06           411.926697E+12            30.5313988E-06           47.0668106E-03 
                   3.09320164E-03          28.1267128               28.2667656              140.051895E-03            18.1033611E-03          357.103699E-03           291.413025E+06           -18.4740009E+03          671.721619E+06           479.305786E+06           329.364624E+06           251.555954E-06          -269.475983E-06          -240.161163E-09             2.20252967E-03         951.827148E-06           -15.1310806E-03         -361.207642E-09            16.0829086E-03         -951.827148E-06           -15.4005575E-03         -601.343323E-09            18.2854385E-03            0.                     480.813477E+06           362.167175E+12            30.5568542E-06           47.1042023E-03 
                   3.33965945E-03          28.1501408               28.2709332              120.792496E-03            15.5994902E-03          356.568207E-03           300.569611E+06           -22.0279999E+03          670.29541E+06            482.897339E+06           320.201965E+06           222.893692E-06          -226.941254E-06          -286.368042E-09             2.17627692E-03         958.18927E-06            -12.9498005E-03           -4.75707197E-06          13.9079885E-03         -958.18927E-06            -13.1767406E-03           -5.04335213E-06          16.0842648E-03            0.                     484.587524E+06           312.089752E+12            30.5823059E-06           47.1415901E-03 
                   3.5865941E-03           28.1524982               28.2585583              106.059113E-03            13.6957541E-03          356.514465E-03           308.112335E+06           -24.9796257E+03          668.29248E+06            485.280762E+06           311.938812E+06           200.047485E-06          -189.798019E-06          -324.738739E-09             2.15137315E-03         961.795898E-06           -11.2913942E-03           -2.35726476E-06          12.2531891E-03         -961.795898E-06           -11.4811907E-03           -2.68203449E-06          14.4045639E-03            0.                     487.228455E+06           274.015076E+12            30.5848618E-06           47.1453476E-03 
                   3.83394957E-03          28.15485                 28.2461357               91.2840195E-03           11.786314E-03           356.460632E-03           315.598877E+06           -28.4061871E+03          666.222412E+06           487.614716E+06           303.666779E+06           177.143631E-06          -152.761383E-06          -369.279419E-09             2.12629151E-03         965.341736E-06            -9.62795734E-03        -107.294907E-09            10.593297E-03          -965.341736E-06            -9.7807188E-03         -476.571594E-09            12.7195902E-03            0.                     489.811981E+06           235.826279E+12            30.5874195E-06           47.1491013E-03 
                   4.08167744E-03          28.1399269               28.2199192               79.9963684E-03           10.3330727E-03          356.801819E-03           321.473389E+06           -10.7087498E+03          663.420898E+06           488.58905E+06            296.160339E+06           158.71788E-06           -120.64817E-06           -139.216354E-09             2.10201097E-03         965.603882E-06            -8.36264515E-03         409.578217E-09             9.32824993E-03        -965.603882E-06            -8.48329353E-03         270.38913E-09             11.4302607E-03            0.                     491.161163E+06           206.761475E+12            30.5712051E-06           47.1252861E-03 
                   4.32972622E-03          28.1249962               28.1936913               68.6917496E-03            8.87743759E-03         357.142975E-03           327.361237E+06             6.33012486E+03         660.633362E+06           489.592072E+06           288.655762E+06           140.280243E-06           -88.5317535E-06           82.2965317E-09            2.07773685E-03         965.968384E-06            -7.09511805E-03           1.02714694E-06           8.0610857E-03         -965.968384E-06            -7.18364906E-03           1.10945261E-06          10.1388216E-03            0.                     492.52887E+06            177.648743E+12            30.5549831E-06           47.1014595E-03 
                   4.57805777E-03          28.098753                28.1588116               60.0580559E-03            7.76709938E-03         357.742828E-03           331.971741E+06            -6.23549986E+03         657.258728E+06           489.249695E+06           281.757904E+06           125.238556E-06           -59.903965E-06           -81.0650787E-09            2.05446172E-03         962.402527E-06            -6.12926531E-03         235.399048E-09             7.09166813E-03        -962.402527E-06            -6.18916893E-03         154.323059E-09             9.14612961E-03           0.                     492.826752E+06           155.441986E+12            30.5264759E-06           47.0595779E-03 
                   4.82663536E-03          28.0725098               28.1239128               51.4038506E-03            6.6540494E-03          358.342712E-03           336.637238E+06           -17.3930626E+03          653.932495E+06           488.971619E+06           274.858246E+06           110.158821E-06           -31.1696491E-06         -226.110397E-09             2.03124881E-03         959.003418E-06            -5.16100407E-03        -242.733231E-09             6.12000751E-03        -959.003418E-06            -5.19217348E-03        -468.851807E-09             8.15125656E-03           0.                     493.18045E+06            133.180984E+12            30.4979649E-06           47.0176926E-03 
                   5.07542849E-03          28.0365715               28.081398                44.8264275E-03            5.80814028E-03         359.164124E-03           340.232971E+06           -14.7782497E+03          650.165649E+06           487.049255E+06           268.533295E+06            97.6824875E-06           -4.65760422E-06        -192.115295E-09             2.00990486E-03         949.648315E-06            -4.42773008E-03          25.2948666E-09            5.37737846E-03        -949.648315E-06            -4.43238783E-03        -166.823151E-09             7.38728333E-03           0.                     492.482666E+06           116.262802E+12            30.4589214E-06           46.9603233E-03 
                   5.32441568E-03          28.0006332               28.038868                38.2352791E-03            4.96044302E-03         359.985596E-03           343.856628E+06           -11.6930466E+03          646.42395E+06            485.152283E+06           262.221283E+06            85.1716766E-06           21.9187012E-06         -152.012711E-09             1.9886061E-03          940.340759E-06            -3.69285774E-03         326.298492E-09             4.63319826E-03        -940.340759E-06            -3.67093873E-03         174.284653E-09             6.62180424E-03           0.                     491.811005E+06            99.3088455E+12           30.4198761E-06           46.9029465E-03 
                   5.57357073E-03          27.9536209               27.9869022               33.2806931E-03            4.32299614E-03         361.06015E-03            346.534241E+06           -15.2098751E+03          642.352661E+06           481.108551E+06           256.533112E+06            74.9346771E-06           47.4792633E-06         -197.729599E-09             1.97029948E-03         922.212097E-06            -3.14526415E-03          56.2995415E-09            4.06747627E-03        -922.212097E-06            -3.097785E-03          -141.426422E-09             6.03777599E-03           0.                     489.998505E+06            86.5599213E+12           30.3688049E-06           46.8278847E-03 
                   5.82286739E-03          27.9066086               27.9349327               28.3241386E-03            3.68529463E-03         362.134644E-03           349.220581E+06           -17.3120632E+03          638.303162E+06           477.059174E+06           250.909409E+06            64.6994247E-06           73.0594711E-06         -225.055374E-09             1.95209634E-03         904.010376E-06            -2.59747362E-03         -44.5161285E-09            3.50148416E-03        -904.010376E-06            -2.52441406E-03        -269.572449E-09             5.45358038E-03           0.                     488.194305E+06            73.8058929E+12           30.3177338E-06           46.7528229E-03 
                   6.07228661E-03          27.8465824               27.8712368               24.6539783E-03            3.21280861E-03         363.506775E-03           350.975494E+06           -14.2494373E+03          633.848816E+06           470.447815E+06           245.958191E+06            56.6157188E-06           98.4324112E-06         -185.241348E-09             1.93710923E-03         875.002625E-06            -2.19945431E-03         -25.5904541E-09            3.07445693E-03        -875.002625E-06            -2.10102177E-03        -210.833603E-09             5.01156616E-03           0.                     485.090698E+06            64.3561783E+12           30.2525158E-06           46.6569328E-03 
                   6.32181406E-03          27.7865524               27.8075275               20.9758873E-03            2.73928332E-03         364.878876E-03           352.7229E+06              -8.12132835E+03         629.384277E+06           463.791504E+06           241.141769E+06            48.5333977E-06          123.85083E-06           -105.577332E-09             1.92214966E-03         845.796814E-06            -1.80062652E-03          66.3883057E-09            2.64642334E-03        -845.796814E-06            -1.67677569E-03         -39.187851E-09             4.56857347E-03           0.                     481.966156E+06            54.8856583E+12           30.1873016E-06           46.561039E-03  
                   6.57143068E-03          27.7136822               27.7319622               18.2843513E-03            2.39231396E-03         366.544556E-03           353.487152E+06            -4.25337505E+03         624.220886E+06           454.603577E+06           236.950714E+06            42.3711472E-06          149.199188E-06           -55.2940979E-09            1.90896821E-03         806.45575E-06             -1.51847255E-03          63.2399254E-09            2.32492805E-03        -806.45575E-06             -1.3692733E-03            7.94625568E-09           4.23389673E-03           0.                     477.437195E+06            47.9462776E+12           30.1081295E-06           46.4445915E-03 
                   6.82112217E-03          27.6408081               27.6563969               15.5882645E-03            2.04473972E-03         368.210144E-03           354.25177E+06             -5.12489843E+03         619.047668E+06           445.389343E+06           233.00235E+06             36.2132645E-06          174.603424E-06           -66.623848E-09             1.89577651E-03         766.997498E-06            -1.23587143E-03         -52.5287323E-09            2.00286889E-03        -766.997498E-06            -1.06126809E-03        -119.15358E-09              3.89864564E-03           0.                     472.896271E+06            40.9947891E+12           30.0289612E-06           46.3281364E-03 
