
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.3687501E+03            0.                     204.682602E+06           499.491455E+06           534.493164E+06           409.781891E-03           735.694336E-03            10.3160954                8.72452545               1.5915705                1.31607246               1.11302841             203.044098E-03            10.0000038E+09          924.222534E-03           176.717789E-03  
                   7.3755002E+03            0.                     212.861847E+06           519.474854E+06           555.869141E+06           409.763641E-03           735.761047E-03            10.3161011                8.72453213               1.59157205               1.31607378               1.11302912             203.044327E-03            10.0000038E+09          924.222656E-03           176.717728E-03  
                   7.38224983E+03           0.                     221.040619E+06           539.458618E+06           577.244873E+06           409.745148E-03           735.827881E-03            10.3161154                8.72454071               1.59157288               1.31607449               1.11303031             203.044525E-03            10.0000038E+09          924.222656E-03           176.717621E-03  
                   7.38899994E+03           0.                     229.218658E+06           559.442688E+06           598.620178E+06           409.726868E-03           735.894531E-03            10.3161211                8.72454739               1.59157443               1.31607616               1.11303115             203.044617E-03            10.0000038E+09          924.222717E-03           176.717606E-03  
                   7.39575005E+03           0.                     237.396225E+06           579.427002E+06           619.995239E+06           409.708557E-03           735.96106E-03             10.3161306                8.72455597               1.59157586               1.31607699               1.11303234             203.0448E-03              10.0000038E+09          924.222717E-03           176.717545E-03  
                   7.40250015E+03           0.                     245.573105E+06           599.411621E+06           641.369995E+06           409.690247E-03           736.027588E-03            10.3161411                8.72456264               1.5915767                1.31607819               1.11303306             203.044998E-03            10.0000038E+09          924.222717E-03           176.717545E-03  
                   7.40924978E+03           0.                     253.879486E+06           619.352051E+06           662.819153E+06           409.911469E-03           735.224854E-03            10.3161469                8.72457123               1.59157813               1.3160795                1.11303425             203.045105E-03            10.0000038E+09          924.222717E-03           176.717484E-03  
                   7.41599989E+03           0.                     262.590973E+06           639.33551E+06            684.633606E+06           410.724854E-03           732.269958E-03            10.3161573                8.7245779                1.59157968               1.31608021               1.11303496             203.045273E-03            10.0000038E+09          924.222778E-03           176.717468E-03  
                   7.42275E+03              0.                     271.855713E+06           659.622498E+06           707.12323E+06            412.138428E-03           727.125793E-03            10.3161631                8.72458649               1.59158027               1.3160814                1.11303604             203.045471E-03            10.0000038E+09          924.222778E-03           176.717392E-03  
                   7.4295001E+03            0.                     281.832794E+06           680.511108E+06           730.632812E+06           414.148834E-03           719.790039E-03            10.3161755                8.72459316               1.59158194               1.31608224               1.11303675             203.045547E-03            10.0000038E+09          924.2229E-03             176.717331E-03  
                   7.43625021E+03           0.                     292.72345E+06            702.373657E+06           755.592651E+06           416.763031E-03           710.217346E-03            10.3161821                8.72459984               1.59158254               1.31608379               1.11303794             203.045761E-03            10.0000038E+09          924.2229E-03             176.717316E-03  
                   7.44299984E+03           0.                     304.823395E+06           725.751404E+06           782.632141E+06           420.010742E-03           698.270325E-03            10.3161917                8.72460747               1.59158397               1.3160845                1.1130383              203.045822E-03            10.0000038E+09          924.222961E-03           176.717316E-03  
                   7.44974995E+03           0.                     318.642761E+06           751.541687E+06           812.809387E+06           423.985504E-03           683.566101E-03            10.3161974                8.72461319               1.5915854                1.3160857                1.11303949             203.046005E-03            10.0000038E+09          924.222961E-03           176.717255E-03  
                   7.45650005E+03           0.                     335.2117E+06             781.561157E+06           848.26947E+06            428.899963E-03           665.254761E-03            10.3162069                8.72462082               1.59158599               1.31608641               1.11304009             203.046188E-03            10.0000038E+09          924.22345E-03            176.717239E-03  
                   7.46325016E+03           0.                     357.641388E+06           821.452759E+06           895.624695E+06           435.376831E-03           640.901794E-03            10.3162127                8.72462463               1.59158754               1.3160876                1.11304116             203.046249E-03            10.0000038E+09          924.22345E-03            176.717148E-03  
                   7.46999979E+03           1.20924199E-03         384.839294E+06           880.855042E+06           961.452332E+06           436.892853E-03           636.109009E-03            10.3191776                8.72263241               1.59654713               1.31646597               1.11278701             203.679001E-03            24.1948433E+12          924.243225E-03           176.702408E-03  
                   7.4767499E+03            3.33126235E-03         388.001984E+06           900.468872E+06           978.744873E+06           430.889008E-03           658.49823E-03             10.3245487                8.7192812                1.60526943               1.31715131               1.11235917             204.791763E-03            66.6352615E+12          924.279541E-03           176.675644E-03  
                   7.4835E+03               5.09834909E-03         390.533112E+06           916.802063E+06           992.995789E+06           425.973389E-03           676.643127E-03            10.3294392                8.71685314               1.61258841               1.31777501               1.11204946             205.72551E-03            101.976959E+12           924.312866E-03           176.651321E-03  
                   7.49025011E+03           6.65429783E-03         392.926392E+06           931.183472E+06             1.00562716E+09         421.964661E-03           691.357727E-03            10.3341846                8.71509171               1.61909366               1.31838024               1.11182475             206.555359E-03           133.095932E+12           924.344971E-03           176.627731E-03  
                   7.49700022E+03           8.0580225E-03          395.304688E+06           944.112732E+06             1.01713419E+09         418.704865E-03           703.31604E-03             10.3388071                8.71379757               1.62501037               1.31896996               1.11165953             207.31015E-03            161.170486E+12           924.376221E-03           176.604843E-03  
                   7.50374985E+03           9.41518784E-03         398.16629E+06            955.306763E+06             1.02772486E+09         416.794281E-03           710.303101E-03            10.3434629                8.71270752               1.63075626               1.31956387               1.11152053             208.043259E-03           188.313751E+12           924.407715E-03           176.581635E-03  
                   7.51049995E+03          10.9020586E-03          402.420685E+06           964.407593E+06             1.03789353E+09         417.272522E-03           708.663513E-03            10.348525                 8.711483                 1.63704479               1.32020998               1.11136425             208.845474E-03           218.051132E+12           924.442017E-03           176.55658E-03   
                   7.51725006E+03          12.5852203E-03          408.603577E+06           972.921448E+06             1.04916346E+09         419.975891E-03           698.706787E-03            10.354147                 8.7100029                1.64414525               1.32092714               1.11117542             209.751328E-03           251.714386E+12           924.47998E-03            176.528717E-03  
                   7.52400017E+03          14.3991947E-03          413.536133E+06           982.096985E+06             1.0599227E+09          421.074646E-03           694.74707E-03             10.360261                 8.70845699               1.65180349               1.32170689               1.11097836             210.728302E-03           287.993927E+12           924.520996E-03           176.498489E-03  
                   7.5307498E+03           16.2562084E-03          416.811523E+06           991.490173E+06             1.06952572E+09         420.389008E-03           697.390686E-03            10.3665619                8.70691586               1.6596477                1.32251096               1.11078167             211.729004E-03           325.134125E+12           924.563293E-03           176.467361E-03  
