
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3112497                8.72036839               1.59088075               1.31545448               1.1124984              202.956131E-03            10.0000038E+09          924.189514E-03           176.741928E-03  
                   7.20514011E+03           0.                       6.15537977E+06          12.8840961E+06           14.421319E+06           477.750366E-03           474.203369E-03            10.3113203                8.72043133               1.59089005               1.3154633                1.11250591             202.957336E-03            10.0000038E+09          924.189697E-03           176.741608E-03  
                   7.21027994E+03           0.                      12.3102684E+06           25.7681522E+06           28.8423042E+06          477.732025E-03           474.279236E-03            10.3113899                8.72048855               1.59090042               1.31547272               1.11251354             202.958603E-03            10.0000038E+09          924.190063E-03           176.741287E-03  
                   7.21541977E+03           0.                      18.4646606E+06           38.6521568E+06           43.2629471E+06          477.713593E-03           474.354889E-03            10.3114586                8.72054863               1.5909102                1.31548107               1.11252117             202.9599E-03              10.0000038E+09          924.19104E-03            176.740906E-03  
                   7.22056007E+03           0.                      24.6185665E+06           51.5361252E+06           57.6832619E+06          477.695251E-03           474.430634E-03            10.3115273                8.72060585               1.59091985               1.31548953               1.1125288              202.961044E-03            10.0000038E+09          924.191406E-03           176.740524E-03  
                   7.22570038E+03           0.                      30.7719765E+06           64.4200516E+06           72.1032333E+06          477.676819E-03           474.506409E-03            10.3115911                8.72066498               1.59092951               1.31549835               1.11253619             202.962326E-03            10.0000038E+09          924.191589E-03           176.740234E-03  
                   7.23083973E+03           0.                      36.924881E+06            77.3039398E+06           86.5228729E+06          477.658569E-03           474.582001E-03            10.3116608                8.72071934               1.59093845               1.3155067                1.11254311             202.963547E-03            10.0000038E+09          924.191956E-03           176.739929E-03  
                   7.23598003E+03           0.                      43.0772858E+06           90.1877594E+06          100.942154E+06           477.640137E-03           474.657715E-03            10.3117275                8.72077847               1.5909481                1.31551456               1.1125505              202.964706E-03            10.0000038E+09          924.192993E-03           176.739548E-03  
                   7.24112034E+03           0.                      49.2292099E+06          103.071556E+06           115.361115E+06           477.621857E-03           474.733398E-03            10.3117895                8.72083282               1.59095681               1.31552315               1.11255789             202.965912E-03            10.0000038E+09          924.193298E-03           176.739258E-03  
