
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3112488                8.72036743               1.59088075               1.31545436               1.11249816             202.956024E-03            10.0000038E+09          924.189514E-03           176.741928E-03  
                   7.20800018E+03           0.                       9.43718243E+06          25.7998085E+06           26.6089344E+06          365.784943E-03           890.772583E-03            10.3113556                8.7204628                1.59089589               1.31546843               1.11250997             202.958084E-03            10.0000038E+09          924.190063E-03           176.741394E-03  
                   7.21600008E+03           0.                      18.8737431E+06           51.5993576E+06           53.2171097E+06          365.774872E-03           890.806885E-03            10.3114662                8.72055531               1.59091115               1.31548178               1.11252153             202.960007E-03            10.0000038E+09          924.191162E-03           176.740906E-03  
                   7.22399998E+03           0.                      28.3096962E+06           77.3986359E+06           79.8245316E+06          365.764923E-03           890.841248E-03            10.3115702                8.72064114               1.59092581               1.31549525               1.11253321             202.961899E-03            10.0000038E+09          924.191528E-03           176.740387E-03  
                   7.23199987E+03           0.                      37.7450256E+06          103.197655E+06           106.431183E+06           365.754852E-03           890.875549E-03            10.3116751                8.72073174               1.59094048               1.31550837               1.11254466             202.96376E-03             10.0000038E+09          924.191956E-03           176.739868E-03  
                   7.23999977E+03           0.                      47.1797714E+06          128.996353E+06           133.037079E+06           365.744904E-03           890.909912E-03            10.3117704                8.72081661               1.59095514               1.31552124               1.1125555              202.965576E-03            10.0000038E+09          924.193298E-03           176.73938E-03   
                   7.24800014E+03           0.                      56.6138802E+06          154.794815E+06           159.642197E+06           365.734924E-03           890.944153E-03            10.3118687                8.72090244               1.59096837               1.3155334                1.11256623             202.967392E-03            10.0000038E+09          924.193481E-03           176.738892E-03  
                   7.25600004E+03           0.                      66.0473557E+06          180.593048E+06           186.246628E+06           365.724945E-03           890.978516E-03            10.3119669                8.72098541               1.59098256               1.31554604               1.11257672             202.969177E-03            10.0000038E+09          924.194336E-03           176.738342E-03  
                   7.26399994E+03           0.                      75.4802551E+06          206.390869E+06           212.850235E+06           365.714966E-03           891.012817E-03            10.3120632                8.72106457               1.59099627               1.31555843               1.11258769             202.97081E-03             10.0000038E+09          924.195251E-03           176.737854E-03  
                   7.27199984E+03           0.                      84.9125366E+06          232.188629E+06           239.453125E+06           365.704956E-03           891.046936E-03            10.3121548                8.72114468               1.59100938               1.31557012               1.1125977              202.972565E-03            10.0000038E+09          924.195557E-03           176.737396E-03  
                   7.28000021E+03           0.                      94.3441925E+06          257.985992E+06           266.055237E+06           365.695038E-03           891.081238E-03            10.3122454                8.72122288               1.59102237               1.31558156               1.11260724             202.974121E-03            10.0000038E+09          924.196228E-03           176.736938E-03  
                   7.28800011E+03           0.                     103.775238E+06           283.783081E+06           292.656586E+06           365.685059E-03           891.115417E-03            10.3123341                8.72130013               1.59103465               1.31559265               1.11261725             202.975769E-03            10.0000038E+09          924.19696E-03            176.736542E-03  
                   7.296E+03                0.                     113.205696E+06           309.579926E+06           319.257233E+06           365.675049E-03           891.149658E-03            10.3124237                8.72137451               1.591048                 1.31560361               1.11262667             202.97731E-03             10.0000038E+09          924.197266E-03           176.736115E-03  
                   7.3039999E+03            0.                     122.635506E+06           335.376526E+06           345.857086E+06           365.665039E-03           891.183899E-03            10.3125105                8.72145081               1.59105992               1.31561482               1.11263633             202.978973E-03            10.0000038E+09          924.19812E-03            176.735672E-03  
                   7.3119998E+03            0.                     132.064743E+06           361.172882E+06           372.456146E+06           365.655212E-03           891.218201E-03            10.3125906                8.72151947               1.59107161               1.31562591               1.11264503             202.980484E-03            10.0000038E+09          924.198792E-03           176.735306E-03  
                   7.32000017E+03           0.                     141.493301E+06           386.968903E+06           399.054474E+06           365.645172E-03           891.252441E-03            10.3126726                8.7215929                1.59108305               1.31563628               1.11265445             202.981934E-03            10.0000038E+09          924.199097E-03           176.734894E-03  
                   7.32800007E+03           0.                     150.921265E+06           412.764618E+06           425.652069E+06           365.635315E-03           891.286743E-03            10.3127537                8.72165871               1.59109473               1.31564653               1.11266267             202.983414E-03            10.0000038E+09          924.199402E-03           176.734451E-03  
                   7.33599997E+03           0.                     160.348679E+06           438.56015E+06            452.248932E+06           365.625336E-03           891.320923E-03            10.3128347                8.72172737               1.59110558               1.31565607               1.11267161             202.984802E-03            10.0000038E+09          924.200256E-03           176.734009E-03  
                   7.34399986E+03           0.                     169.775482E+06           464.355469E+06           478.84494E+06            365.615356E-03           891.354919E-03            10.312911                 8.72179317               1.59111667               1.31566632               1.11267996             202.986221E-03            10.0000038E+09          924.200745E-03           176.733643E-03  
                   7.35200024E+03           0.                     179.201584E+06           490.150421E+06           505.440277E+06           365.605438E-03           891.388977E-03            10.3129873                8.72185993               1.59112751               1.31567574               1.11268818             202.987564E-03            10.0000038E+09          924.201172E-03           176.733337E-03  
                   7.36000013E+03           0.                     188.627243E+06           515.945068E+06           532.034912E+06           365.595428E-03           891.423096E-03            10.3130589                8.72192192               1.59113836               1.31568527               1.11269653             202.988922E-03            10.0000038E+09          924.201782E-03           176.732986E-03  
                   7.36800003E+03           0.                     198.052185E+06           541.739502E+06           558.628723E+06           365.585632E-03           891.457092E-03            10.3131351                8.72198486               1.59114885               1.31569433               1.11270428             202.99028E-03             10.0000038E+09          924.202209E-03           176.732544E-03  
                   7.37599993E+03           0.                     207.476517E+06           567.533691E+06           585.221741E+06           365.575623E-03           891.491089E-03            10.3132019                8.72204685               1.59115934               1.31570375               1.11271226             202.991638E-03            10.0000038E+09          924.202698E-03           176.732162E-03  
                   7.38399982E+03           0.                     216.900177E+06           593.327637E+06           611.814026E+06           365.565704E-03           891.525269E-03            10.3132734                8.72210693               1.5911684                1.31571257               1.11271954             202.992874E-03            10.0000038E+09          924.203125E-03           176.731842E-03  
                   7.3920002E+03            0.                     226.323395E+06           619.121216E+06           638.40564E+06            365.555817E-03           891.55957E-03             10.313343                 8.7221632                1.59117877               1.31572115               1.11272705             202.99408E-03             10.0000038E+09          924.203674E-03           176.731522E-03  
                   7.4000001E+03            0.                     235.745819E+06           644.914612E+06           664.996521E+06           365.545807E-03           891.59375E-03             10.313406                 8.72222042               1.5911876                1.31572986               1.11273444             202.995316E-03            10.0000038E+09          924.204041E-03           176.731186E-03  
                   7.40799999E+03           0.                     245.167725E+06           670.707581E+06           691.586365E+06           365.53598E-03            891.627563E-03            10.3134756                8.72227859               1.59119773               1.31573808               1.11274183             202.99646E-03             10.0000038E+09          924.20459E-03            176.73085E-03   
                   7.41599989E+03           0.                     254.589035E+06           696.500488E+06           718.175842E+06           365.526062E-03           891.661499E-03            10.3135376                8.72233009               1.59120607               1.31574631               1.1127485              202.997665E-03            10.0000038E+09          924.204956E-03           176.73056E-03   
                   7.42399979E+03           0.                     264.009705E+06           722.29303E+06            744.764465E+06           365.516144E-03           891.695435E-03            10.3136034                8.72238731               1.59121537               1.31575465               1.11275578             202.998734E-03            10.0000038E+09          924.205627E-03           176.730209E-03  
                   7.43200016E+03           0.                     273.429932E+06           748.085327E+06           771.352234E+06           365.506287E-03           891.729431E-03            10.3136644                8.72244072               1.59122419               1.3157624                1.11276233             202.999985E-03            10.0000038E+09          924.205933E-03           176.729919E-03  
                   7.44000006E+03           0.                     283.379425E+06           773.832642E+06           798.402161E+06           366.202423E-03           889.345154E-03            10.3137226                8.7224884                1.59123266               1.31577039               1.11276925             203.001007E-03            10.0000038E+09          924.206421E-03           176.729599E-03  
                   7.44799995E+03           0.                     295.53949E+06            801.291626E+06           828.685425E+06           368.828888E-03           880.33075E-03             10.3137817                8.72253799               1.59124148               1.3157779                1.11277544             203.002151E-03            10.0000038E+09          924.206543E-03           176.729355E-03  
                   7.45599985E+03           0.                     313.120941E+06           836.358276E+06           869.220581E+06           374.3862E-03             861.163269E-03            10.3138399                8.72259331               1.59124947               1.31578493               1.11278164             203.003174E-03            10.0000038E+09          924.206909E-03           176.729034E-03  
                   7.46400023E+03           1.65799439E-03         338.030273E+06           885.003052E+06           925.872131E+06           381.953644E-03           836.530762E-03            10.313942                 8.71645927               1.59748018               1.31579769               1.11199963             203.798019E-03            33.1698914E+12          924.207764E-03           176.728546E-03  
                   7.47200012E+03           3.73704076E-03         340.05658E+06            904.219421E+06           941.138367E+06           376.077454E-03           855.225769E-03            10.3148041                8.70941734               1.60538757               1.31590819               1.11110103             204.806839E-03            74.750824E+12           924.213623E-03           176.724213E-03  
                   7.48000002E+03           5.43571043E-03         341.904327E+06           919.920166E+06           953.775513E+06           371.66745E-03            870.506836E-03            10.3153858                8.70356464               1.61182117               1.31598222               1.11035454             205.627579E-03           108.724213E+12           924.217651E-03           176.721313E-03  
                   7.48799992E+03           6.92051077E-03         343.798279E+06           933.644104E+06           965.04834E+06            368.232452E-03           882.428467E-03            10.3158617                8.69842911               1.61743343               1.3160429                1.10969937             206.343582E-03           138.420197E+12           924.220764E-03           176.718933E-03  
                   7.49599981E+03           8.26015091E-03         345.850189E+06           945.823364E+06           975.381226E+06           365.660492E-03           891.448792E-03            10.316287                 8.69379807               1.622491                 1.31609726               1.10910869             206.988785E-03           165.213028E+12           924.223755E-03           176.716812E-03  
                   7.50400019E+03           9.56079006E-03         348.300293E+06           956.436646E+06           984.988586E+06           364.164368E-03           896.506531E-03            10.3167114                8.68931389               1.62739789               1.31615114               1.1085366              207.614761E-03           191.225769E+12           924.226318E-03           176.714722E-03  
                   7.51200008E+03          10.9914551E-03          351.880493E+06           964.859741E+06           994.143799E+06           364.696045E-03           894.741943E-03            10.3171597                8.68437386               1.63278711               1.31620884               1.10790622             208.302338E-03           219.839111E+12           924.229675E-03           176.712448E-03  
                   7.51999998E+03          12.5694866E-03          356.021545E+06           972.841919E+06             1.0035162E+09          365.960297E-03           890.455383E-03            10.3177357                8.67899799               1.63873625               1.3162818                1.10722053             209.061279E-03           251.399704E+12           924.233704E-03           176.70961E-03   
                   7.52799988E+03          14.1764498E-03          360.126556E+06           980.970398E+06             1.0129534E+09          367.112579E-03           886.558838E-03            10.3183603                8.67356777               1.64479363               1.31636155               1.10652757             209.834061E-03           283.538971E+12           924.237976E-03           176.706451E-03  
                   7.53599977E+03          15.8282089E-03          363.883728E+06           989.325317E+06             1.02222455E+09         367.810028E-03           884.322449E-03            10.3190804                8.66805744               1.65102339               1.31645358               1.10582471             210.628815E-03           316.574249E+12           924.242798E-03           176.70285E-03   
                   7.54400015E+03          17.48703E-03            366.895416E+06           997.71582E+06              1.03083181E+09         367.735321E-03           884.901611E-03            10.3199453                8.66265106               1.65729356               1.31656361               1.10513496             211.42868E-03            349.75058E+12            924.248596E-03           176.698532E-03  
                   7.55200005E+03          19.0889988E-03          369.070251E+06             1.0058192E+09            1.03845644E+09         366.935059E-03           887.653931E-03            10.3209677                8.6575985                1.66336954               1.31669402               1.10449028             212.203827E-03           381.789948E+12           924.255432E-03           176.693481E-03  
                   7.55999994E+03          20.7506218E-03          371.805725E+06             1.0121913E+09            1.04542041E+09         367.327667E-03           887.050964E-03            10.3220778                8.65240574               1.66967225               1.316836                 1.10382807             213.007935E-03           415.022339E+12           924.263E-03              176.687927E-03  
                   7.56799984E+03          22.8562069E-03          375.378113E+06             1.01714051E+09           1.05213964E+09         369.052338E-03           880.254028E-03            10.3234825                8.64583588               1.67764854               1.31701505               1.10298944             214.025482E-03           457.134216E+12           924.272461E-03           176.680969E-03  
                   7.57600021E+03          25.0706615E-03          379.046967E+06             1.02234602E+09           1.05913317E+09         370.761932E-03           874.204163E-03            10.3249359                8.63891506               1.68602121               1.31720054               1.10210693             215.093628E-03           501.423187E+12           924.282288E-03           176.673691E-03  
                   7.58400011E+03          27.3232498E-03          382.698822E+06             1.02764094E+09           1.06616604E+09         372.405121E-03           868.367798E-03            10.3264704                8.63193512               1.69453335               1.31739616               1.10121655             216.17955E-03            546.474976E+12           924.292664E-03           176.666061E-03  
                   7.59200001E+03          29.6757317E-03          386.485748E+06             1.03317082E+09           1.07348514E+09         374.077332E-03           862.625977E-03            10.328083                 8.62467384               1.70341134               1.31760204               1.10029006             217.312164E-03           593.524658E+12           924.303711E-03           176.658035E-03  
                   7.5999999E+03           32.6009369E-03          392.012695E+06             1.03712583E+09           1.08131611E+09         377.97995E-03            850.623413E-03            10.3299408                8.61553383               1.71440768               1.31783879               1.09912395             218.715012E-03           652.028809E+12           924.316223E-03           176.648804E-03  
                   7.6079998E+03           36.0600586E-03          397.165253E+06             1.04137218E+09           1.0889883E+09          381.386658E-03           840.31665E-03             10.3348093                8.60701275               1.72779763               1.31846011               1.09803677             220.423233E-03           721.21106E+12            924.34906E-03            176.624603E-03  
                   7.61600018E+03          39.7195053E-03          401.45166E+06              1.04586446E+09           1.09602153E+09         383.84671E-03            832.704346E-03            10.338829                 8.59706879               1.7417599                1.31897283               1.0967685              222.204453E-03           794.399963E+12           924.376465E-03           176.604568E-03  
                   7.62400007E+03          43.8619461E-03          406.52533E+06              1.04908121E+09           1.10287654E+09         387.506073E-03           821.97699E-03             10.3444605                8.58676147               1.75769961               1.31969118               1.09545338             224.237946E-03           877.24884E+12            924.414307E-03           176.57663E-03   
                   7.63199997E+03          48.6164894E-03          411.675446E+06             1.05261707E+09           1.10994971E+09         391.097046E-03           809.978088E-03            10.3514071                8.57537842               1.77602875               1.32057738               1.09400105             226.57634E-03            972.339661E+12           924.461304E-03           176.542206E-03  
