
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.35099983E+03           1.72552979E-03         331.636841E+06           885.627197E+06           921.967773E+06           374.467072E-03           971.541992E-03            10.3582935                8.75421906               1.6040777                1.32145619               1.11681664             204.639709E-03            34.5205956E+12          924.507202E-03           176.50853E-03   
                   7.35703993E+03           2.17052841E-03         332.463196E+06           889.740234E+06           925.546997E+06           373.664856E-03           975.439697E-03            10.3595104                8.75358677               1.60592568               1.32161152               1.11673594             204.875458E-03            43.4205742E+12          924.515442E-03           176.502518E-03  
                   7.36308002E+03           2.64832234E-03         332.411865E+06           894.156555E+06           928.45929E+06            371.762146E-03           981.973328E-03            10.3603249                8.75248718               1.60783911               1.32171535               1.11659551             205.119583E-03            52.9764481E+12          924.520874E-03           176.498444E-03  
                   7.36912012E+03           3.15557289E-03         331.627136E+06           898.844849E+06           930.81488E+06            368.950195E-03           982.358398E-03            10.3609457                8.75111294               1.60983551               1.32179451               1.11642027             205.374252E-03            63.1214561E+12          924.525146E-03           176.495316E-03  
                   7.37516022E+03           3.68867588E-03         330.283783E+06           903.772461E+06           932.75061E+06            365.452209E-03           981.504089E-03            10.3613214                8.7494297                1.61189306               1.32184231               1.11620545             205.636719E-03            73.7835159E+12          924.527832E-03           176.493423E-03  
                   7.38120031E+03           4.24965858E-03         328.668549E+06           908.957397E+06           934.555481E+06           361.590698E-03           977.403992E-03            10.3615294                8.74749851               1.61402988               1.32186866               1.11595941             205.909317E-03            85.0031967E+12          924.529236E-03           176.49234E-03   
                   7.38724041E+03           4.83751583E-03         326.912537E+06           914.390991E+06           936.348389E+06           357.521759E-03           963.033936E-03            10.3616285                8.74537849               1.61625171               1.32188129               1.11568868             206.192825E-03            96.7603378E+12          924.53009E-03            176.491791E-03  
                   7.39327955E+03           5.44946861E-03         325.219299E+06           920.047363E+06           938.319763E+06           353.483551E-03           948.749817E-03            10.3616781                8.74312401               1.61855578               1.32188797               1.11540115             206.486771E-03           108.99939E+12            924.530396E-03           176.491486E-03  
                   7.39931965E+03           6.08687449E-03         323.68277E+06            925.938904E+06           940.578369E+06           349.575165E-03           935.208862E-03            10.3617439                8.74078846               1.62095642               1.32189584               1.11510313             206.79303E-03            121.747467E+12           924.530945E-03           176.491119E-03  
                   7.40535975E+03           6.74977207E-03         322.41806E+06            932.065918E+06           943.249268E+06           345.920288E-03           922.877502E-03            10.3618851                8.73842525               1.62346256               1.32191443               1.11480165             207.112717E-03           135.005417E+12           924.531799E-03           176.490356E-03  
                   7.41139984E+03           7.43634987E-03         321.531433E+06           938.411926E+06           946.440979E+06           342.636444E-03           912.140869E-03            10.3621655                8.73609161               1.62607586               1.32195008               1.11450386             207.446136E-03           148.736984E+12           924.533813E-03           176.488968E-03  
                   7.41743994E+03           8.15120697E-03         321.072876E+06           944.843384E+06           950.125183E+06           339.818542E-03           903.141785E-03            10.3626509                8.73382759               1.62882364               1.32201195               1.11421525             207.796646E-03           163.034149E+12           924.536926E-03           176.486557E-03  
                   7.42348003E+03           8.89764309E-03         321.060394E+06           951.14563E+06            954.191101E+06           337.553741E-03           896.19574E-03             10.3634071                8.73167896               1.63172746               1.32210827               1.11394095             208.167114E-03           177.96286E+12            924.542053E-03           176.482773E-03  
                   7.42952013E+03           9.67812538E-03         321.534302E+06           957.33252E+06            958.698059E+06           335.867065E-03           891.415649E-03            10.3644838                8.72968102               1.63480496               1.32224572               1.11368608             208.559708E-03           193.57254E+12            924.549377E-03           176.477478E-03  
                   7.43556023E+03          10.5116272E-03          322.581848E+06           962.4328E+06             963.104187E+06           335.17453E-03            889.363281E-03            10.3659849                8.72784519               1.63814032               1.32243752               1.11345196             208.98526E-03            210.242493E+12           924.559448E-03           176.470001E-03  
                   7.44160032E+03          11.4049101E-03          324.161743E+06           966.951172E+06           967.715271E+06           335.242157E-03           890.464355E-03            10.3680067                8.72623253               1.64177454               1.32269514               1.11324632             209.448853E-03           228.1082E+12             924.573059E-03           176.460022E-03  
                   7.44763994E+03          12.3916283E-03          327.030762E+06           971.942261E+06           974.005371E+06           336.472595E-03           895.569153E-03            10.3706474                8.72480202               1.64584732               1.32303226               1.11306369             209.968445E-03           247.842606E+12           924.590881E-03           176.446945E-03  
                   7.45368004E+03          13.5430222E-03          331.69342E+06            977.766174E+06           982.727417E+06           339.237366E-03           905.805237E-03            10.3742075                8.72354031               1.65066886               1.32348621               1.11290276             210.583542E-03           270.870422E+12           924.614807E-03           176.429398E-03  
                   7.45972013E+03          14.8848495E-03          337.016235E+06           984.553467E+06           992.748352E+06           342.305298E-03           917.075928E-03            10.3788376                8.72248173               1.65635681               1.32407689               1.11276758             211.309219E-03           297.707001E+12           924.645996E-03           176.40654E-03   
                   7.46575975E+03          16.4489689E-03          342.266968E+06           992.465515E+06             1.00340283E+09         344.867615E-03           926.668884E-03            10.3845539                8.72152233               1.6630336                1.32480633               1.11264527             212.160995E-03           328.98938E+12            924.684204E-03           176.378387E-03  
                   7.47179985E+03          18.2948303E-03          347.234131E+06             1.00180209E+09           1.01467299E+09         346.612091E-03           933.391968E-03            10.3913803                8.72045803               1.67092311               1.32567704               1.11250973             213.167511E-03           365.906586E+12           924.730042E-03           176.344772E-03  
