
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.33874989E+03           0.                     168.817902E+06           370.947449E+06           409.727783E+06           455.099396E-03           564.94812E-03             10.3160486                8.7244854                1.59156382               1.31606674               1.11302316             203.043365E-03            10.0000038E+09          924.222046E-03           176.718018E-03  
                   7.34429979E+03           0.                     175.564072E+06           385.787537E+06           426.114136E+06           455.079651E-03           565.02533E-03             10.3160563                8.72449398               1.59156489               1.31606781               1.11302423             203.043457E-03            10.0000038E+09          924.222046E-03           176.717987E-03  
                   7.34985018E+03           0.                     182.309723E+06           400.627838E+06           442.500183E+06           455.059875E-03           565.102478E-03            10.3160667                8.72450066               1.59156656               1.31606877               1.11302507             203.04364E-03             10.0000038E+09          924.222473E-03           176.717911E-03  
                   7.35540009E+03           0.                     189.05481E+06            415.468384E+06           458.8862E+06             455.040314E-03           565.179688E-03            10.3160744                8.72450829               1.59156728               1.31606972               1.1130259              203.043793E-03            10.0000038E+09          924.222473E-03           176.71788E-03   
                   7.36094999E+03           0.                     195.799423E+06           430.30896E+06            475.271881E+06           455.020538E-03           565.256775E-03            10.3160839                8.72451591               1.59156859               1.31607068               1.11302686             203.04393E-03             10.0000038E+09          924.222534E-03           176.717804E-03  
                   7.3664999E+03            0.                     202.560516E+06           445.14624E+06            491.666321E+06           455.042664E-03           565.170166E-03            10.3160896                8.72452259               1.5915699                1.31607187               1.11302781             203.044098E-03            10.0000038E+09          924.222534E-03           176.717789E-03  
                   7.37204981E+03           0.                     209.408905E+06           459.978851E+06           508.11731E+06            455.257904E-03           564.327148E-03            10.3160992                8.72452831               1.59157062               1.3160727                1.11302865             203.044235E-03            10.0000038E+09          924.222656E-03           176.717773E-03  
                   7.37760019E+03           0.                     216.379288E+06           474.82843E+06            524.665894E+06           455.700073E-03           562.592468E-03            10.3161049                8.72453308               1.59157228               1.31607389               1.11302948             203.044357E-03            10.0000038E+09          924.222656E-03           176.717743E-03  
                   7.3831501E+03            0.                     223.494949E+06           489.722748E+06           541.349243E+06           456.370453E-03           559.960205E-03            10.3161144                8.72454071               1.59157288               1.31607461               1.11303043             203.04451E-03             10.0000038E+09          924.222717E-03           176.717667E-03  
                   7.38870001E+03           0.                     230.781219E+06           504.691162E+06           558.207581E+06           457.272217E-03           556.413879E-03            10.3161201                8.72454739               1.59157431               1.31607568               1.11303115             203.044601E-03            10.0000038E+09          924.222717E-03           176.717636E-03  
