
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    

                   7.19999981E+03           0.                       0.                       0.                       0.                       0.                       0.                      10.3118124                8.72085285               1.59096086               1.31552637               1.11256003             202.966309E-03            10.0000038E+09          924.193359E-03           176.739105E-03  
                   7.20884991E+03           0.                       3.84626007E+06          88.2816238E+06           56.6618042E+06           43.5667877E-03          127.259445E-03            10.3119278                8.72094917               1.59097683               1.31554091               1.11257243             202.968369E-03            10.0000038E+09          924.193787E-03           176.738571E-03  
                   7.2177E+03               0.                       7.74559641E+06         176.656158E+06           113.454628E+06            43.8443298E-03          128.081116E-03            10.3120461                8.72105217               1.59099376               1.31555593               1.11258554             202.97052E-03             10.0000038E+09          924.195129E-03           176.737976E-03  
                   7.22654963E+03           0.                      11.6979408E+06          265.123596E+06           170.378296E+06            44.1213264E-03          128.90123E-03             10.31217                  8.72115898               1.59101164               1.31557178               1.11259937             202.972794E-03            10.0000038E+09          924.195618E-03           176.73735E-03   
                   7.23539972E+03           0.                      15.5528736E+06          353.319244E+06           227.004929E+06            44.0180588E-03          128.630249E-03            10.3123035                8.72127151               1.59103024               1.31558871               1.11261344             202.975189E-03            10.0000038E+09          924.196655E-03           176.73671E-03   
                   7.24424982E+03           0.                      18.6423454E+06          439.49054E+06            281.355927E+06            42.4168396E-03          124.060303E-03            10.312439                 8.72138977               1.59104967               1.315606                 1.11262858             202.977676E-03            10.0000038E+09          924.197571E-03           176.736023E-03  
                   7.25309992E+03           0.                      20.752039E+06           521.977478E+06           332.156799E+06            39.7553825E-03          116.44368E-03             10.3125801                8.72151089               1.59107029               1.315624                 1.11264408             202.980301E-03            10.0000038E+09          924.198547E-03           176.735336E-03  
                   7.26195002E+03           0.                      22.0167217E+06          599.867859E+06           379.068604E+06            36.7014618E-03          107.695282E-03            10.312726                 8.72163677               1.59109068               1.31564283               1.11265993             202.98291E-03             10.0000038E+09          924.199524E-03           176.734604E-03  
                   7.27079964E+03           0.                      22.5966759E+06          673.050598E+06           422.254822E+06            33.5724297E-03           98.7282791E-03           10.3128767                8.72176552               1.59111202               1.31566203               1.1126765              202.985641E-03            10.0000038E+09          924.2005E-03             176.733795E-03  
