
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   2.86450601E-03          30.0838318               30.2148056              130.977264E-03            15.8796797E-03          312.369507E-03           598.626465E+06          -217.627945E+03             1.45877373E+09           1.00912452E+09         745.166565E+06           226.194748E-06          -661.521667E-06            -2.82917809E-06           4.92943525E-03           2.00671601E-03         -12.5460682E-03           -9.28616619E-06          14.5527821E-03           -2.00671601E-03         -13.2075882E-03          -12.1154585E-06           19.4822197E-03            0.                       1.0224427E+09          317.693604E+12            32.6830635E-06           50.2173233E-03 
                   3.11146688E-03          30.0714931               30.1837788              112.286606E-03            13.6181545E-03          312.651642E-03           618.143494E+06           118.299004E+03             1.45589972E+09           1.01485431E+09         725.856689E+06           197.404739E-06          -632.82489E-06              1.53788269E-06           4.8125906E-03            1.94579589E-03         -10.6120262E-03            3.88143229E-06          12.5578213E-03           -1.94579589E-03         -11.2448502E-03            5.41933727E-06          17.3704147E-03            0.                       1.02956676E+09         272.463104E+12            32.6696548E-06           50.1977539E-03 
                   3.35891533E-03          30.0591431               30.1542587               95.1164322E-03           11.5395184E-03          312.933685E-03           639.869995E+06           197.9021E+03               1.45439363E+09           1.01608193E+09         706.081238E+06           170.493729E-06          -482.085724E-06             2.57273674E-06           4.81231976E-03           1.96329176E-03          -8.78503132E-03           7.74234486E-06          10.7483234E-03           -1.96329176E-03          -9.26711941E-03          10.3151178E-06           15.5606461E-03            0.                       1.03693831E+09         230.890366E+12            32.6562462E-06           50.1781769E-03 
                   3.60678506E-03          29.9684811               30.0499611               81.4783173E-03            9.91261768E-03         315.006073E-03           654.796448E+06            85.0234985E+03            1.44907975E+09           1.0142976E+09          688.898682E+06           148.668335E-06          -434.834381E-06             1.10531247E-06           4.72800779E-03           1.90192306E-03          -7.4004755E-03          944.419312E-09             9.30239964E-03          -1.90192306E-03          -7.83530998E-03           2.04975367E-06          14.0304079E-03            0.                       1.03932583E+09         198.352356E+12            32.5577469E-06           50.0344086E-03 
                   3.85501242E-03          29.8778076               29.9468765               69.0632019E-03            8.42568111E-03         317.078461E-03           672.626953E+06          -127.00103E+03              1.44581985E+09           1.00829124E+09         671.53894E+06            128.393875E-06          -298.882355E-06            -1.65101433E-06           4.72687292E-03           1.8829366E-03           -6.1062994E-03           -3.55040908E-06           7.98923635E-03          -1.8829366E-03           -6.40518188E-03          -5.20141554E-06          12.7161102E-03            0.                       1.04237187E+09         168.613617E+12            32.4592476E-06           49.8905716E-03 
                   4.10354519E-03          29.7299519               29.7890701               59.1211166E-03            7.24612856E-03         320.458221E-03           683.949524E+06           -48.9454994E+03            1.43852139E+09         999.682007E+06           656.370911E+06           112.013618E-06          -250.057968E-06          -636.308044E-09             4.65465879E-03           1.8022033E-03           -5.12102795E-03          -1.55784798E-06           6.92323017E-03          -1.8022033E-03           -5.37108564E-03          -2.19413781E-06          11.5778904E-03            0.                       1.04064071E+09         145.022552E+12            32.2986107E-06           49.6559258E-03 
                   4.35233498E-03          29.5820847               29.632164                50.0792046E-03            6.16632366E-03         323.837982E-03           698.040588E+06           131.479507E+03             1.43270123E+09         986.265869E+06           641.133606E+06            96.7812119E-06         -128.285172E-06             1.70923519E-06           4.64700985E-03           1.74517906E-03          -4.20270014E-03           2.57238936E-06           5.94787931E-03          -1.74517906E-03          -4.33098507E-03           4.28162479E-06          10.5948896E-03            0.                       1.03907084E+09         123.426468E+12            32.1379623E-06           49.4211502E-03 
                   4.6013484E-03           29.3912964               29.4341354               42.8380089E-03            5.30656004E-03         328.198914E-03           705.92981E+06            -24.0564995E+03            1.42276812E+09         970.362E+06              627.874573E+06            84.5339737E-06          -68.8927078E-06         -312.727936E-09             4.59055567E-03           1.64991629E-03          -3.50440526E-03        -359.130341E-09             5.15432167E-03          -1.64991629E-03          -3.57329798E-03        -671.861938E-09             9.74487782E-03           0.                       1.03296316E+09         106.231201E+12            31.9306927E-06           49.1180534E-03 
                   4.85055161E-03          29.2005043               29.2367935               36.2855339E-03            4.52205133E-03         332.559784E-03           716.783691E+06           -88.7545624E+03            1.41409886E+09         950.580383E+06           614.718994E+06            73.1984787E-06           45.5799446E-06           -1.15381539E-06           4.57812929E-03           1.56525791E-03          -2.86115098E-03          -1.11895812E-06           4.42640877E-03          -1.56525791E-03          -2.81557107E-03          -2.27276731E-06           9.00453758E-03           0.                       1.02721477E+09          90.5410309E+12           31.7234211E-06           48.8147697E-03 
                   5.09991503E-03          28.9905663               29.0215855               31.0171585E-03            3.89142299E-03         337.358459E-03           721.814026E+06           -82.8037491E+03            1.40151596E+09         929.677063E+06           603.25531E+06             64.0932083E-06          104.839455E-06            -1.0764488E-06            4.52290297E-03           1.45594883E-03          -2.37341213E-03        -955.54425E-09              3.82936096E-03          -1.45594883E-03          -2.26857233E-03          -2.03199673E-06           8.35226345E-03           0.                       1.01762033E+09          77.9284592E+12           31.4953442E-06           48.4808159E-03 
