
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  13.E+03                  26.4112015               26.4687672               57.5652733E-03            7.89745617E-03         396.315216E-03             9.98155975E+06        -746.805481E+03           776.961914E+06           365.387451E+06           664.819214E+06             1.16371441E-03          -1.60070515E-03          -9.70844078E-06           3.38466573E-03         709.433044E-06            -6.45756674E-03         -22.4465466E-06            7.16699982E-03        -709.433044E-06            -8.05827236E-03         -32.1543922E-06           10.5516672E-03            0.                     389.220093E+06           158.049103E+12            28.693121E-06            44.3585701E-03 
                  14.E+03                  26.2919102               26.3581696               66.2608109E-03            9.13057709E-03         399.042053E-03             9.91291237E+06        -742.14801E+03            794.515198E+06           377.737457E+06           679.927429E+06             1.23312199E-03          -1.63788259E-03          -9.64786148E-06           3.46203184E-03         752.977478E-06            -7.50400305E-03         -24.7009449E-06            8.2569809E-03         -752.977478E-06            -9.14188576E-03         -34.3490105E-06           11.7190142E-03            0.                     398.065796E+06           182.711563E+12            28.5635262E-06           44.1670647E-03 
                  15.E+03                  26.1676674               26.2430038               75.3391571E-03           10.4293709E-03          401.881866E-03             9.74831676E+06        -821.736023E+03           811.323669E+06           389.430359E+06           694.506897E+06             1.29879332E-03          -1.676373E-03           -10.6825752E-06            3.53386497E-03         791.559814E-06            -8.61012077E-03         -27.4916534E-06            9.40167999E-03        -791.559814E-06           -10.2864952E-03          -38.1745071E-06           12.935544E-03             0.                     406.042755E+06           208.687408E+12            28.4285336E-06           43.9675179E-03 
                  16.E+03                  26.041048                26.1258125               84.7694092E-03           11.7900486E-03          404.775909E-03             9.53553772E+06        -937.505493E+03           827.449829E+06           400.289825E+06           708.570251E+06             1.36067677E-03          -1.71433437E-03         -12.1876879E-06            3.60210752E-03         825.569153E-06            -9.77247238E-03         -30.8748131E-06           10.5980387E-03         -825.569153E-06           -11.486804E-03           -43.0629883E-06           14.2001495E-03            0.                     414.21582E+06            235.900955E+12            28.2909946E-06           43.7640686E-03 
                  17.E+03                  25.9233284               26.0178795               94.5538101E-03           13.2086239E-03          407.466766E-03             9.37144089E+06          -1.00644708E+06         843.009399E+06           410.273102E+06           722.12915E+06              1.41857624E-03          -1.749964E-03           -13.0837212E-06            3.66868424E-03         855.896362E-06           -10.9869413E-03          -34.622879E-06            11.8428326E-03         -855.896362E-06           -12.7369013E-03          -47.7065048E-06           15.5115175E-03            0.                     422.637054E+06           264.272491E+12            28.1630955E-06           43.574852E-03  
                  18.E+03                  25.8209114               25.9256191              104.703903E-03            14.6825514E-03          409.807556E-03             9.28945637E+06        -938.197021E+03           858.082581E+06           419.329041E+06           735.218384E+06             1.47392988E-03          -1.78149855E-03         -12.1965933E-06            3.73565745E-03         883.758545E-06           -12.2506418E-03          -37.8159714E-06           13.1343985E-03         -883.758545E-06           -14.0321398E-03          -50.0123711E-06           16.8700619E-03            0.                     431.434937E+06           293.751038E+12            28.0518398E-06           43.4101868E-03 
                  19.E+03                  25.7314129               25.8466587              115.242142E-03            16.2145691E-03          411.85318E-03              9.23588753E+06        -844.887512E+03           872.702393E+06           427.805389E+06           747.901245E+06             1.53201497E-03          -1.81090152E-03         -10.9834805E-06            3.80163121E-03         909.800659E-06           -13.5656471E-03          -40.3812447E-06           14.4754477E-03         -909.800659E-06           -15.3765478E-03          -51.3650589E-06           18.2770786E-03            0.                     439.335999E+06           324.391449E+12            27.9546089E-06           43.2662125E-03 
                  20.E+03                  25.6431732               25.7693119              126.127632E-03            17.8050289E-03          413.870087E-03             9.19180393E+06        -759.36853E+03            886.898804E+06           435.858978E+06           760.215393E+06             1.59045804E-03          -1.83897603E-03          -9.87177181E-06           3.86611938E-03         934.360535E-06           -14.9320984E-03          -42.3866119E-06           15.8664589E-03         -934.360535E-06           -16.7710781E-03          -52.2584038E-06           19.732584E-03             0.                     446.743408E+06           356.200531E+12            27.8587399E-06           43.1242447E-03 
                  21.E+03                  25.5564041               25.6937561              137.348969E-03            19.4525242E-03          415.853516E-03             9.14490986E+06        -679.878479E+03           900.68573E+06            443.571838E+06           772.181274E+06             1.64749682E-03          -1.86616421E-03          -8.83828735E-06           3.92885232E-03         957.610657E-06           -16.3486786E-03          -43.8609886E-06           17.3062916E-03         -957.610657E-06           -18.2148399E-03          -52.7001991E-06           21.2351398E-03            0.                     453.782684E+06           389.150421E+12            27.7644749E-06           42.9845772E-03 
                  22.E+03                  25.4717064               25.6205959              148.884018E-03            21.153717E-03           417.78949E-03              9.09264374E+06        -589.77948E+03            914.071472E+06           450.973511E+06           783.807129E+06             1.70119476E-03          -1.89255917E-03          -7.66698217E-06           3.98980403E-03         979.665466E-06           -17.8124199E-03          -44.7157669E-06           18.7920856E-03         -979.665466E-06           -19.7049789E-03          -52.38311E-06             22.7818832E-03            0.                     460.569214E+06           423.174377E+12            27.6724548E-06           42.8482246E-03 
                  23.E+03                  25.3905945               25.5516033              161.005386E-03            22.9462681E-03          419.643341E-03             8.99396038E+06        -401.506012E+03           927.333801E+06           458.274719E+06           795.367432E+06             1.79254377E-03          -1.91940439E-03          -5.21946669E-06           4.04980373E-03           1.00091994E-03         -19.355711E-03           -44.1539192E-06           20.3566265E-03           -1.00091994E-03         -21.2751064E-03          -49.3726082E-06           24.4064255E-03            0.                     467.114166E+06           459.02533E+12             27.5843391E-06           42.7176208E-03 
                  24.E+03                  25.3175907               25.4915428              173.951111E-03            24.8600826E-03          421.312164E-03             8.87528801E+06        -141.690994E+03           940.679932E+06           465.537476E+06           807.019409E+06             1.91382122E-03          -1.94662106E-03          -1.84195232E-06           4.11010933E-03           1.02168345E-03         -21.0044098E-03          -41.3927765E-06           22.0260925E-03           -1.02168345E-03         -22.9510307E-03          -43.2346115E-06           26.1362038E-03            0.                     473.842896E+06           497.301727E+12            27.5050144E-06           42.6000061E-03 
