
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     388.680847E-03           413.870087E-03           429.776794E-03           439.324188E-03           445.582092E-03           450.097778E-03           453.561493E-03           456.225983E-03           458.28125E-03            459.854828E-03  
                 224.273651E-06             0.                     378.226044E-03           394.684509E-03           407.554291E-03           415.636169E-03           421.016937E-03           424.873901E-03           427.8255E-03             430.099945E-03           431.858582E-03           433.209869E-03  
                 226.806854E-06             0.                     378.107941E-03           394.467804E-03           407.303284E-03           415.368622E-03           420.739471E-03           424.588989E-03           427.534851E-03           429.80484E-03            431.56012E-03            432.915192E-03  
                 229.373581E-06             0.                     377.988281E-03           394.24826E-03            407.04895E-03            415.097504E-03           420.458344E-03           424.300323E-03           427.240295E-03           429.505829E-03           431.263519E-03           432.616608E-03  
                 231.96637E-06              0.                     377.867432E-03           394.026428E-03           406.792053E-03           414.823639E-03           420.174316E-03           424.008698E-03           426.94278E-03            429.208954E-03           430.963837E-03           432.315033E-03  
                 234.574081E-06             0.                     377.74588E-03            393.803345E-03           406.533661E-03           414.548218E-03           419.888702E-03           423.715424E-03           426.648071E-03           428.9104E-03             430.662476E-03           432.011658E-03  
                 237.215317E-06             0.                     377.622742E-03           393.577393E-03           406.271942E-03           414.269257E-03           419.599426E-03           423.422272E-03           426.349579E-03           428.608002E-03           430.357208E-03           431.704437E-03  
                 239.908691E-06             0.                     377.497192E-03           393.346985E-03           406.005066E-03           413.984772E-03           419.307678E-03           423.123352E-03           426.045197E-03           428.299591E-03           430.045959E-03           431.391113E-03  
                 242.818146E-06             0.                     377.361572E-03           393.098114E-03           405.716766E-03           413.680237E-03           418.992554E-03           422.800446E-03           425.7164E-03             427.966492E-03           429.709747E-03           431.052673E-03  
                 246.278946E-06             0.                     377.200226E-03           392.802063E-03           405.376099E-03           413.317993E-03           418.617706E-03           422.416321E-03           425.325317E-03           427.570251E-03           429.309753E-03           430.650116E-03  
                 248.897827E-06             0.                     377.078156E-03           392.578796E-03           405.118317E-03           413.043823E-03           418.334015E-03           422.125702E-03           425.029327E-03           427.270416E-03           429.00708E-03            430.34549E-03   
                 250.000504E-06             0.                     377.026825E-03           392.484802E-03           405.009766E-03           412.928406E-03           418.2146E-03             422.003296E-03           424.904694E-03           427.144135E-03           428.879639E-03           430.217194E-03  
                 453.330566E-06             0.                     367.561493E-03           375.151184E-03           384.994476E-03           391.644867E-03           396.190765E-03           399.436615E-03           401.926239E-03           403.863892E-03           405.380981E-03           406.565002E-03  
                 458.020721E-06             0.                     367.34317E-03            374.751373E-03           384.532806E-03           391.153931E-03           395.682739E-03           398.916077E-03           401.39621E-03            403.326935E-03           404.838959E-03           406.180359E-03  
                 462.748108E-06             0.                     367.123108E-03           374.348358E-03           384.067444E-03           390.659088E-03           395.170685E-03           398.391388E-03           400.861969E-03           402.785645E-03           404.462128E-03           405.792664E-03  
                 467.509033E-06             0.                     366.901459E-03           373.942505E-03           383.598816E-03           390.160736E-03           394.655029E-03           397.863007E-03           400.323914E-03           402.419067E-03           404.082642E-03           405.402222E-03  
                 472.284851E-06             0.                     366.679138E-03           373.53537E-03            383.128662E-03           389.660828E-03           394.137695E-03           397.332977E-03           399.971619E-03           402.051331E-03           403.701996E-03           405.010559E-03  
                 477.094208E-06             0.                     366.455261E-03           373.125366E-03           382.655273E-03           389.15741E-03            393.616791E-03           396.997162E-03           399.616821E-03           401.681E-03              403.318634E-03           404.616119E-03  
                 481.985504E-06             0.                     366.22757E-03            372.708405E-03           382.173767E-03           388.645416E-03           393.2995E-03             396.655609E-03           399.255951E-03           401.304382E-03           402.928772E-03           404.214966E-03  
                 487.238159E-06             0.                     365.983032E-03           372.26062E-03            381.656708E-03           388.340759E-03           392.958771E-03           396.288849E-03           398.868469E-03           400.899902E-03           402.510101E-03           403.78418E-03   
                 493.414703E-06             0.                     365.695496E-03           371.73407E-03            381.362732E-03           387.982544E-03           392.558105E-03           395.857544E-03           398.412811E-03           400.424316E-03           402.017792E-03           403.277649E-03  
                 498.14209E-06              0.                     365.475433E-03           371.599548E-03           381.137756E-03           387.708405E-03           392.251434E-03           395.527466E-03           398.064087E-03           400.060333E-03           401.640991E-03           402.889923E-03  
                 500.001007E-06             0.                     365.471527E-03           371.546661E-03           381.049286E-03           387.600586E-03           392.130859E-03           395.397644E-03           397.926941E-03           399.917175E-03           401.492798E-03           402.737488E-03  
                 685.524231E-06             0.                     365.078186E-03           366.26712E-03            372.219482E-03           376.840881E-03           380.0961E-03             382.443207E-03           384.240601E-03           385.631927E-03           386.705261E-03           387.52243E-03   
                 692.114258E-06             0.                     365.064209E-03           366.079559E-03           371.905792E-03           376.458679E-03           379.66861E-03            381.983063E-03           383.754425E-03           385.124481E-03           386.179993E-03           386.990326E-03  
                 698.737793E-06             0.                     365.050171E-03           365.891083E-03           371.590576E-03           376.074554E-03           379.238922E-03           381.520569E-03           383.265808E-03           384.614471E-03           385.659424E-03           386.455536E-03  
                 705.383728E-06             0.                     365.036072E-03           365.701935E-03           371.274261E-03           375.689087E-03           378.807831E-03           381.056519E-03           382.775513E-03           384.1091E-03             385.137115E-03           385.918945E-03  
                 712.037109E-06             0.                     365.021973E-03           365.512604E-03           370.957611E-03           375.303253E-03           378.376251E-03           380.591919E-03           382.29007E-03            383.60318E-03            384.614197E-03           385.381744E-03  
                 718.705383E-06             0.                     365.007843E-03           365.322845E-03           370.640259E-03           374.916504E-03           377.943665E-03           380.130676E-03           381.803528E-03           383.09613E-03            384.090118E-03           384.843353E-03  
                 725.466736E-06             0.                     364.9935E-03             365.130432E-03           370.318451E-03           374.524353E-03           377.508484E-03           379.662994E-03           381.31015E-03            382.582001E-03           383.558746E-03           384.297424E-03  
                 732.690125E-06             0.                     364.97818E-03            364.924866E-03           369.97464E-03            374.108032E-03           377.04361E-03            379.16333E-03            380.783142E-03           382.032745E-03           382.991058E-03           383.714203E-03  
                 741.112976E-06             0.                     364.960358E-03           364.685181E-03           369.575592E-03           373.622589E-03           376.501526E-03           378.580719E-03           380.168549E-03           381.392273E-03           382.329071E-03           383.034119E-03  
                 747.617371E-06             0.                     364.946533E-03           364.500519E-03           369.267395E-03           373.247742E-03           376.082886E-03           378.130798E-03           379.69397E-03            380.897675E-03           381.817871E-03           382.508972E-03  
                 750.001526E-06             0.                     364.941498E-03           364.432831E-03           369.154449E-03           373.110321E-03           375.929443E-03           377.965881E-03           379.52002E-03            380.71637E-03            381.630524E-03           382.316437E-03  
                 921.372314E-06             0.                     364.5784E-03             359.567688E-03           361.035187E-03           363.233551E-03           364.900085E-03           366.111938E-03           367.016113E-03           367.685394E-03           368.16214E-03            368.479767E-03  
