
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   2.84655023E-03          27.6475639               27.8030071              155.442596E-03            20.4222965E-03          368.055695E-03           167.359116E+06           -68.9416275E+03          411.522247E+06           288.621918E+06           211.453094E+06           250.270523E-06          -213.420715E-06          -896.235168E-09             1.37363982E-03         574.787476E-06           -17.3741913E-03            5.55108976E-06          17.9489784E-03         -574.787476E-06           -17.5876122E-03            4.65480852E-06          19.3226166E-03            0.                     289.167755E+06           408.545868E+12            30.0363064E-06           46.338932E-03  
                   3.09246039E-03          27.6674423               27.8040695              136.626663E-03            17.9398384E-03          367.601379E-03           172.546097E+06           -29.5100002E+03          410.218048E+06           290.459534E+06           205.832016E+06           222.713409E-06          -188.285858E-06          -383.630341E-09             1.35658181E-03         578.151367E-06           -15.2154655E-03            1.69585109E-06          15.7936182E-03         -578.151367E-06           -15.4037523E-03            1.3121171E-06           17.1502018E-03            0.                     291.074554E+06           358.896759E+12            30.0579014E-06           46.370697E-03  
                   3.33891058E-03          27.6873207               27.8049946              117.674149E-03            15.4388189E-03          367.147003E-03           178.238754E+06            12.1758127E+03          409.387024E+06           292.764771E+06           200.183029E+06           194.845535E-06          -162.033951E-06           158.285721E-09             1.34042978E-03         582.385376E-06           -13.0399208E-03         -155.843735E-09            13.6223049E-03         -582.385376E-06           -13.2019539E-03            2.46654963E-09          14.9627352E-03            0.                     293.463562E+06           308.876404E+12            30.0794926E-06           46.4024658E-03 
                   3.58583403E-03          27.6920624               27.7955227              103.458542E-03            13.5716124E-03          367.038605E-03           182.656311E+06            -5.84200001E+03         407.754852E+06           294.007111E+06           194.944717E+06           173.687988E-06          -139.361374E-06           -75.9428101E-09            1.32377887E-03         584.419006E-06           -11.4166222E-03         -978.063354E-09            12.0010414E-03         -584.419006E-06           -11.5559845E-03           -1.05399525E-06          13.3248196E-03            0.                     294.806091E+06           271.532257E+12            30.0846481E-06           46.4100494E-03 
                   3.83316731E-03          27.696806                27.7859917               89.1871872E-03           11.6968355E-03          366.930176E-03           187.198685E+06           -26.0037804E+03          406.236755E+06           295.365875E+06           189.697311E+06           152.432388E-06          -116.410507E-06          -338.046906E-09             1.30733657E-03         586.676392E-06            -9.78663731E-03          -1.77729821E-06          10.373313E-03          -586.676392E-06            -9.90304661E-03          -2.11533189E-06          11.6806498E-03            0.                     296.26709E+06            234.036713E+12            30.0897999E-06           46.4176331E-03 
                   4.08085442E-03          27.6893101               27.7677174               78.4086609E-03           10.2851496E-03          367.101654E-03           190.569839E+06           -16.1966877E+03          403.960632E+06           295.724121E+06           184.808289E+06           136.173355E-06           -96.6780014E-06         -210.554398E-09             1.2903626E-03          586.824951E-06            -8.55966568E-03        -713.160278E-09             9.1464901E-03         -586.824951E-06            -8.65634346E-03        -923.726501E-09            10.4368534E-03            0.                     296.751556E+06           205.803024E+12            30.0816574E-06           46.4056473E-03 
                   4.32885456E-03          27.6818123               27.7494164               67.605217E-03             8.87006378E-03         367.272919E-03           194.0177E+06              -5.34912491E+03         401.759796E+06           296.156067E+06           179.918259E+06           119.884979E-06           -76.7852554E-06          -69.5390549E-09            1.27353847E-03         587.114014E-06            -7.32961369E-03         589.03241E-09              7.91672802E-03        -587.114014E-06            -7.40639877E-03         519.474243E-09             9.19026661E-03           0.                     297.311157E+06           177.501266E+12            30.0735073E-06           46.3936615E-03 
                   4.57712269E-03          27.6650219               27.7243996               59.3789749E-03            7.79415035E-03         367.656708E-03           196.509598E+06            -8.24487495E+03         398.947388E+06           295.753571E+06           175.327362E+06           107.310265E-06           -59.5035172E-06         -107.181221E-09             1.25634217E-03         585.582458E-06            -6.39493418E-03        -162.43576E-09              6.98051691E-03        -585.582458E-06            -6.45443821E-03        -269.617889E-09             8.23685932E-03           0.                     297.07016E+06            155.983017E+12            30.0552692E-06           46.3668251E-03 
                   4.82563305E-03          27.6482315               27.6993599               51.12994E-03              6.71519327E-03         368.040497E-03           199.030197E+06            -9.43421841E+03         396.157623E+06           295.377502E+06           170.73175E+06             94.7031708E-06          -42.1516762E-06         -122.643311E-09             1.23917663E-03         584.105835E-06            -5.457582E-03          -565.247314E-09             6.04168797E-03        -584.105835E-06            -5.49973392E-03        -687.887207E-09             7.28086472E-03           0.                     296.855103E+06           134.403885E+12            30.0370312E-06           46.3399925E-03 
                   5.07434464E-03          27.6234245               27.668272                44.850811E-03             5.89432573E-03         368.607544E-03           200.693909E+06            -6.18462515E+03         392.840088E+06           294.21701E+06            166.423035E+06            84.8675842E-06          -27.1161709E-06          -80.4006958E-09            1.22183418E-03         580.783997E-06            -4.74513769E-03        -263.124084E-09             5.32592297E-03        -580.783997E-06            -4.77225447E-03        -343.516144E-09             6.54775667E-03           0.                     295.916992E+06           117.986519E+12            30.0100803E-06           46.3003311E-03 
                   5.323246E-03            27.5986137               27.6371727               38.5572891E-03            5.07154131E-03         369.17453E-03            202.366745E+06            -2.66110158E+03         389.527191E+06           293.067902E+06           162.111267E+06            75.0110931E-06          -12.0589781E-06          -34.5951347E-09            1.20448387E-03         577.498657E-06            -4.0309968E-03           62.3902016E-09            4.60849619E-03        -577.498657E-06            -4.04305553E-03          27.7955208E-09            5.8129797E-03            0.                     294.987244E+06           101.530823E+12            29.9831257E-06           46.2606773E-03 
