
                     X                  PSI_Cbar_L_0s          PSI_Cbar_L_10000s        PSI_Cbar_L_20000s        PSI_Cbar_L_30000s        PSI_Cbar_L_40000s        PSI_Cbar_L_50000s        PSI_Cbar_L_60000s        PSI_Cbar_L_70000s        PSI_Cbar_L_80000s        PSI_Cbar_L_90000s        PSI_Cbar_L_100000s  

                   0.                       0.                     395.248627E-03           401.198334E-03           405.203339E-03           408.024139E-03           410.025238E-03           411.59494E-03            412.777771E-03           413.7565E-03             414.526093E-03           415.131561E-03  
                 222.697861E-06             0.                     390.301971E-03           395.111877E-03           398.391541E-03           400.772003E-03           402.494171E-03           403.843231E-03           404.887329E-03           405.732361E-03           406.401581E-03           406.933014E-03  
                 225.260849E-06             0.                     390.245056E-03           395.041809E-03           398.313171E-03           400.688538E-03           402.407501E-03           403.754028E-03           404.796509E-03           405.640045E-03           406.308075E-03           406.840546E-03  
                 227.883453E-06             0.                     390.186798E-03           394.970154E-03           398.232941E-03           400.603119E-03           402.318817E-03           403.66275E-03            404.703583E-03           405.545532E-03           406.214142E-03           406.745941E-03  
                 230.561935E-06             0.                     390.127289E-03           394.896942E-03           398.151001E-03           400.5159E-03             402.228241E-03           403.569489E-03           404.608704E-03           405.450623E-03           406.118256E-03           406.649292E-03  
                 233.292572E-06             0.                     390.06665E-03            394.822327E-03           398.067474E-03           400.426971E-03           402.135864E-03           403.474457E-03           404.513367E-03           405.353882E-03           406.020447E-03           406.550751E-03  
                 236.064194E-06             0.                     390.005096E-03           394.746582E-03           397.982727E-03           400.3367E-03             402.042145E-03           403.379211E-03           404.416626E-03           405.255646E-03           405.921204E-03           406.450775E-03  
                 238.880508E-06             0.                     389.942535E-03           394.669586E-03           397.896545E-03           400.245026E-03           401.947937E-03           403.28244E-03            404.318298E-03           405.155823E-03           405.820312E-03           406.349182E-03  
                 241.722916E-06             0.                     389.879395E-03           394.591888E-03           397.809631E-03           400.153259E-03           401.852844E-03           403.184753E-03           404.219055E-03           405.055145E-03           405.718506E-03           406.246643E-03  
                 244.572754E-06             0.                     389.816101E-03           394.514038E-03           397.723022E-03           400.061249E-03           401.757507E-03           403.086823E-03           404.119568E-03           404.954132E-03           405.616455E-03           406.143829E-03  
                 247.381622E-06             0.                     389.753693E-03           394.437622E-03           397.637695E-03           399.970581E-03           401.663544E-03           402.990295E-03           404.021515E-03           404.854614E-03           405.515839E-03           406.04248E-03   
                 250.000504E-06             0.                     389.695648E-03           394.366364E-03           397.558136E-03           399.886047E-03           401.575958E-03           402.900269E-03           403.930054E-03           404.76181E-03            405.422058E-03           405.947998E-03  
                 449.944275E-06             0.                     385.264282E-03           388.926147E-03           391.482788E-03           393.431641E-03           394.887238E-03           396.029327E-03           396.94989E-03            397.676788E-03           398.261383E-03           398.734497E-03  
                 454.72757E-06              0.                     385.158264E-03           388.79599E-03            391.337494E-03           393.277222E-03           394.727234E-03           395.86496E-03            396.782898E-03           397.507324E-03           398.090057E-03           398.602203E-03  
                 459.603973E-06             0.                     385.050201E-03           388.66333E-03            391.189301E-03           393.119812E-03           394.564087E-03           395.697388E-03           396.61264E-03            397.334503E-03           397.959442E-03           398.467346E-03  
                 464.562317E-06             0.                     384.940308E-03           388.528412E-03           391.038666E-03           392.959747E-03           394.398224E-03           395.527008E-03           396.439545E-03           397.206665E-03           397.82663E-03            398.3302E-03    
                 469.598907E-06             0.                     384.828674E-03           388.391357E-03           390.88559E-03            392.79718E-03            394.229736E-03           395.353912E-03           396.31546E-03            397.076782E-03           397.691711E-03           398.190887E-03  
                 474.702576E-06             0.                     384.715546E-03           388.252502E-03           390.73053E-03            392.632416E-03           394.05899E-03            395.234985E-03           396.189697E-03           396.94516E-03            397.555023E-03           398.049744E-03  
                 479.862091E-06             0.                     384.601196E-03           388.112091E-03           390.573761E-03           392.465851E-03           393.946808E-03           395.114716E-03           396.062561E-03           396.812103E-03           397.41684E-03            397.907013E-03  
                 485.055145E-06             0.                     384.486115E-03           387.970795E-03           390.415955E-03           392.36261E-03            393.833832E-03           394.993652E-03           395.93457E-03            396.678223E-03           397.27774E-03            397.763397E-03  
