
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      

                   0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.                       0.            
                   1.E+03                  27.                      27.0000343               37.1929207E-06            0.                     382.857178E-03           -34.293499E+03          -287.852264E+03           124.844185E+06            37.4429665E+06          110.992455E+06             0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                       0.                       0.                       0.                       0.                    -243.602203E-06            -3.7420795E-06          568.108032E-06             0.                      54.0842896E+06           99.9999924E+09           29.3327942E-06           45.3027191E-03 
                   2.E+03                  26.9171982               26.9240704                6.87297201E-03         921.285095E-06           384.749817E-03            -1.28507853E+06         220.421753E+03           144.937088E+06            60.845108E+06           127.107895E+06           921.285095E-06          -315.098694E-06             2.8654685E-06          635.345459E-06            88.7475357E-06         -767.99292E-06            -21.8775463E-06          856.740356E-06           -88.7475357E-06           -1.08309162E-03         -19.0120983E-06            1.49208581E-03           0.                      68.1656952E+06           18.5257034E+12           29.2428398E-06           45.170063E-03  
                   3.E+03                  26.827383                26.8429947               15.609849E-03             2.10514593E-03         386.802673E-03            -1.11780608E+06         391.578491E+03           164.365738E+06            76.2683182E+06          143.414597E+06             1.18386066E-03        -366.5401E-06               5.09050035E-06         709.102905E-06           136.469757E-06            -1.79523039E-03         -27.2048569E-06            1.93170011E-03        -136.469757E-06            -2.16177058E-03         -22.114357E-06             2.64080334E-03           0.                      79.838768E+06            42.2029266E+12           29.1452599E-06           45.0261383E-03 
                   4.E+03                  26.7543831               26.780983                26.6018658E-03            3.5999999E-03          388.471222E-03            -1.30114901E+06         518.548767E+03           180.012589E+06            86.6156921E+06          157.048782E+06             1.49485362E-03        -406.448151E-06             6.74112368E-06         772.091187E-06           165.011353E-06            -3.10874724E-03         -34.1686516E-06            3.27375817E-03        -165.011353E-06            -3.51519537E-03         -27.4275951E-06            4.0458498E-03            0.                      88.4423828E+06           72.0999985E+12           29.065958E-06            44.9091263E-03 
                   5.E+03                  26.6895943               26.72966                 40.0645142E-03            5.43640852E-03         389.952087E-03            -1.403988E+06           641.640991E+03           193.89888E+06             94.6272812E+06          169.148651E+06             1.83640909E-03        -439.809113E-06             8.341362E-06           829.659424E-06           184.393967E-06            -4.73110962E-03         -35.541832E-06             4.91550398E-03        -184.393967E-06            -5.17091894E-03         -27.2006435E-06            5.74516392E-03           0.                      95.7073822E+06          108.828186E+12            28.9955673E-06           44.8052635E-03 
                   6.E+03                  26.6331978               26.686739                53.5412445E-03            7.28085661E-03         391.241241E-03            -1.49187005E+06         727.015503E+03           204.693176E+06           100.44825E+06            178.569626E+06             1.84444749E-03        -465.171448E-06             9.45120335E-06         875.031372E-06           197.439224E-06            -6.36370373E-03         -36.2457619E-06            6.56114388E-03        -197.439224E-06            -6.82887602E-03         -26.7944412E-06            7.43617392E-03           0.                     101.216515E+06           145.717148E+12            28.9342937E-06           44.7148285E-03 
                   7.E+03                  26.5843391               26.6496296               65.2873611E-03            8.89430428E-03         392.357941E-03            -1.55743206E+06         785.847473E+03           212.554688E+06           104.560722E+06           185.433899E+06             1.61344981E-03        -483.460266E-06            10.2160187E-06          908.268616E-06           206.307709E-06            -7.79347038E-03         -33.9070129E-06            7.99977684E-03        -206.307709E-06            -8.27692986E-03         -23.6907501E-06            8.90804672E-03           0.                     105.185997E+06           177.98613E+12             28.881218E-06            44.6364708E-03 
                   8.E+03                  26.5361061               26.6123924               76.2882614E-03           10.4112425E-03          393.460449E-03            -1.61427796E+06         839.127991E+03           219.008652E+06           107.880966E+06           191.072342E+06             1.5169363E-03         -498.405792E-06            10.9086685E-06          935.643311E-06           213.313248E-06            -9.13851643E-03         -30.1825352E-06            9.35182953E-03        -213.313248E-06            -9.63692188E-03         -19.2739544E-06           10.2874727E-03            0.                     108.425117E+06           208.324829E+12            28.8288193E-06           44.5590973E-03 
                   9.E+03                  26.494894                26.5818634               86.9733505E-03           11.8872766E-03          394.402435E-03            -1.66780007E+06         887.581482E+03           224.626144E+06           110.743744E+06           195.983719E+06             1.476035E-03          -511.39389E-06             11.5385695E-06          959.516663E-06           219.281281E-06           -10.4477386E-03          -25.848217E-06            10.6670198E-03         -219.281281E-06           -10.9591341E-03          -14.3099461E-06           11.6265345E-03            0.                     111.234016E+06           237.845535E+12            28.7840405E-06           44.4929771E-03 
                  10.E+03                  26.4578705               26.555397                97.5246429E-03           13.3473473E-03          395.248627E-03            -1.72121799E+06         929.017517E+03           229.671646E+06           113.299767E+06           200.399704E+06             1.46007109E-03        -523.063293E-06            12.0772238E-06          980.990601E-06           224.573181E-06           -11.7430811E-03          -21.2439327E-06           11.9676542E-03         -224.573181E-06           -12.2661428E-03           -9.16712475E-06          12.9486418E-03            0.                     113.750069E+06           267.046997E+12            28.7438202E-06           44.4335861E-03 
                  11.E+03                  26.4238396               26.5318718              108.031898E-03            14.803668E-03           396.026672E-03            -1.77491391E+06         964.184021E+03           234.290344E+06           115.629829E+06           204.446274E+06             1.45632172E-03        -533.754883E-06            12.5344229E-06            1.00066936E-03         229.376053E-06           -13.0352793E-03          -16.5334797E-06           13.264658E-03          -229.376053E-06           -13.5690365E-03           -3.9994483E-06           14.2653265E-03            0.                     116.048431E+06           296.173431E+12            28.7068481E-06           44.3789597E-03 
                  12.E+03                  26.3921394               26.5106792              118.538277E-03            16.2620468E-03          396.75116E-03             -1.82831895E+06         994.650513E+03           238.570312E+06           117.782417E+06           208.199295E+06             1.45837855E-03        -543.670654E-06            12.9304676E-06            1.01892042E-03         233.799103E-06           -14.3294506E-03          -11.7602758E-06           14.5632496E-03         -233.799103E-06           -14.8731232E-03            1.17067242E-06          15.5821705E-03            0.                     118.174805E+06           325.341003E+12            28.6724091E-06           44.3280945E-03 
